# https://chainz.cryptoid.info/ and whois results
# CloakCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.1.17.76|/KlausFuchs:2.2.2.2/|60018||||||
104.254.42.216|/KlausFuchs:2.2.2.2/|60018||||||
109.128.160.243|/KlausFuchs:2.2.2.1/|60018||||||
120.17.154.123|/KlausFuchs:2.2.2.2/|60018||||||
13.229.99.77|/SidneyReilly:0.7.8/|60018||||||
138.199.33.226|/KlausFuchs:2.2.2.2/|60018||||||
143.159.253.39|/KlausFuchs:2.2.2.2/|60018||||||
143.176.213.159|/KlausFuchs:2.2.2.2/|60018||||||
146.70.112.142|/KlausFuchs:2.2.2.2/|60018||||||
15.165.142.140|/KlausFuchs:2.2.2.2/|60018||||||
174.250.40.3|/KlausFuchs:2.2.2.2/|60018|6167|174.250.40.0/23|US|arin|2008-12-16|CELLCO-PART, US
174.74.90.35|/KlausFuchs:2.2.2.2/|60018|22773|174.74.0.0/17|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
176.74.136.237|/KlausFuchs:2.2.2.2/|60018|35613|176.74.128.0/19|CZ|ripencc|2011-06-15|NETDATACOMM, CZ
178.24.235.2|/KlausFuchs:2.2.2.2/|60018||||||
181.214.218.159|/KlausFuchs:2.2.2.2/|60018||||||
184.16.159.32|/KlausFuchs:2.2.2.2/|60018||||||
184.166.28.161|/KlausFuchs:2.2.2.2/|60018||||||
185.107.80.191|/KlausFuchs:2.2.2.2/|60018||||||
185.159.157.22|/KlausFuchs:2.2.2.2/|60018|209103|185.159.157.0/24|CH|ripencc|2016-07-14|PROTONVPN, CH
185.159.157.44|/KlausFuchs:2.2.2.2/|60018|209103|185.159.157.0/24|CH|ripencc|2016-07-14|PROTONVPN, CH
185.246.209.146|/KlausFuchs:2.2.2.2/|60018|60068|185.246.209.0/24|GB|ripencc|2018-02-16|CDN77 ^_^, GB
188.126.204.38|/KlausFuchs:2.2.2/|60018||||||
193.70.44.101|/KlausFuchs:2.2.2.2/|60018|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
195.201.184.178|/KlausFuchs:2.2.2.2/|60018|24940|195.201.0.0/16|DE|ripencc|1997-09-22|HETZNER-AS, DE
2.37.131.100|/KlausFuchs:2.2.2.2/|60018|30722|2.36.0.0/14|IT|ripencc|2010-04-29|VODAFONE-IT-ASN, IT
211.219.203.174|/KlausFuchs:2.2.2.2/|60018||||||
