# https://chainz.cryptoid.info/ and whois results
# CROWN
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.238.164.185|/Crown Core:0.14.0.2/|70058|20473|104.238.164.0/23|US|arin|2014-11-13|AS-CHOOPA, US
135.181.52.144|/Crown Core:0.14.0.2/|70058|24940|135.181.0.0/16|DE|ripencc|1996-04-30|HETZNER-AS, DE
136.243.115.129|/Crown Core:0.14.0.2/|70058|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.243.142.35|/Crown Core:0.14.0.2/|70058|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
136.243.142.58|/Crown Core:0.14.0.2/|70058|24940|136.243.0.0/16|DE|ripencc|2004-04-14|HETZNER-AS, DE
138.197.175.206|/Crown Core:0.14.0.2/|70058|14061|138.197.160.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
168.119.87.194|/Crown Core:0.14.0.2/|70058|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
188.40.251.195|/Crown Core:0.14.0.2/|70058|24940|188.40.0.0/16|DE|ripencc|2009-04-23|HETZNER-AS, DE
5.9.240.170|/Crown Core:0.14.0.2/|70058|24940|5.9.0.0/16|DE|ripencc|2012-04-25|HETZNER-AS, DE
75.9.241.143|/Crown Core:0.14.0.2/|70058|7018|75.8.0.0/13|US|arin|2006-02-28|ATT-INTERNET4, US
88.99.11.14|/Crown Core:0.14.0.2/|70058|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
95.216.109.131|/Crown Core:0.14.0.2/|70058|24940|95.216.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
