# https://chainz.cryptoid.info/ and whois results
# Dash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.192.212.113|/open-nodes:0.1/|70215||||||
108.61.209.47|/Dash Core:0.17.0.3/|70219||||||
108.61.209.47|/Dash Core:0.17.0.3/|70221||||||
129.13.189.211|/dsn.tm.kit.edu/dash:0.14.0.2/|70215||||||
136.243.29.202|/Dash Core:0.17.0.3/|70219||||||
136.243.29.202|/Dash Core:0.17.0.3/|70221||||||
163.172.53.103|/Dash Core:0.14.0.3/|70215||||||
167.86.85.18|/Dash Core:0.16.1.1/|70218||||||
168.119.83.15|/Dash Core:0.17.0.3/|70219||||||
168.119.83.15|/Dash Core:0.17.0.3/|70221||||||
173.212.202.33|/Dash Core:0.16.0.1/|70218||||||
173.212.221.13|/Dash Core:0.17.0.3/|70219||||||
173.212.221.13|/Dash Core:0.17.0.3/|70221||||||
176.9.210.17|/Dash Core:0.17.0.3/|70219||||||
176.9.210.17|/Dash Core:0.17.0.3/|70221||||||
178.62.251.10|/bitnodes.earn.com:0.1/|70214||||||
184.164.128.66|/Dash Core:0.14.0.3/|70215||||||
185.16.44.136|/Dash Core:0.16.0.1/|70218||||||
185.186.244.160|/Dash Core:0.16.1.1/|70218||||||
185.232.67.10|/Dash Core:0.16.1.1/|70218||||||
188.166.114.55|/Dash Core:0.17.0.3/|70219||||||
188.166.114.55|/Dash Core:0.17.0.3/|70221||||||
188.40.21.234|/Dash Core:0.17.0.3/|70219||||||
188.40.21.234|/Dash Core:0.17.0.3/|70221||||||
188.66.32.54|/Dash Core:0.16.1.1/|70218||||||
192.99.56.15|/Dash Core:0.16.1.1/|70218||||||
195.122.17.97|/Dash Core:0.16.1.1/|70218||||||
195.206.105.217|/Dash Electrum:4.0.9.4/|70216||||||
197.234.221.141|/dashwallet:5.8.0/|70219||||||
206.189.156.152|/Dash Core:0.16.1.1/|70218|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
207.180.249.77|/Dash Core:0.16.1.1/|70218||||||
216.108.236.43|/Dash Core:0.16.1.1/|70218||||||
23.163.0.174|/Dash Core:0.17.0.3/|70219||||||
23.163.0.174|/Dash Core:0.17.0.3/|70221||||||
23.228.232.76|/Dash Core:0.17.0.3/|70219||||||
23.228.232.76|/Dash Core:0.17.0.3/|70221||||||
24.2.93.105|/Dash Core:0.17.0.3/|70219||||||
24.2.93.105|/Dash Core:0.17.0.3/|70221||||||
24.251.173.182|/Dash Core:0.16.1.1/|70218||||||
3.93.164.12|/Dain:0.1.0/|70218||||||
34.66.169.116|/Dash Core:0.15.0/|70216||||||
35.175.18.75|/Dash Core:0.17.0.2/|70219||||||
35.208.245.6|/Dash Core:0.17.0.3/|70219||||||
35.208.245.6|/Dash Core:0.17.0.3/|70221||||||
37.137.7.166|/BitcoinKit:0.1.0/|70214||||||
46.148.180.251|/Dash Core:0.17.0.3/|70219||||||
46.148.180.251|/Dash Core:0.17.0.3/|70221||||||
5.18.254.64|/Dash Core:0.17.0.3/|70219||||||
5.18.254.64|/Dash Core:0.17.0.3/|70221||||||
5.181.202.21|/Dash Core:0.17.0.3/|70219||||||
5.181.202.21|/Dash Core:0.17.0.3/|70221||||||
50.74.253.74|/Dash Core:0.17.0.3/|70219||||||
50.74.253.74|/Dash Core:0.17.0.3/|70221||||||
51.79.190.161|/Dash Core:0.14.0.1/|70215||||||
52.88.109.192|/Dash Core:0.16.1.1/|70218||||||
62.171.190.144|/Dash Core:0.17.0.3/|70219||||||
62.171.190.144|/Dash Core:0.17.0.3/|70221||||||
62.210.203.244|/Dash Core:0.16.1.1/|70218||||||
63.143.116.134|???|0||||||
71.191.63.50|/Dash Core:0.16.1.1/|70218||||||
82.211.21.178|/Dash Core:0.17.0.3/|70219||||||
82.211.21.178|/Dash Core:0.17.0.3/|70221||||||
82.211.21.186|/Dash Core:0.17.0.3/|70219||||||
82.211.21.186|/Dash Core:0.17.0.3/|70221||||||
82.82.150.178|/Dash Core:0.16.1.1/|70218||||||
84.121.177.117|/Dash Core:0.16.1.1/|70218||||||
85.209.240.14|/Dash Core:0.17.0.3/|70219||||||
85.209.240.14|/Dash Core:0.17.0.3/|70221||||||
85.209.240.16|/Dash Core:0.17.0.3/|70219||||||
85.209.240.16|/Dash Core:0.17.0.3/|70221||||||
85.209.241.202|/Dash Core:0.17.0.3/|70219||||||
85.209.241.202|/Dash Core:0.17.0.3/|70221||||||
85.237.194.14|/BitcoinKit:0.1.0/|70214||||||
88.99.11.26|/Dash Core:0.17.0.3/|70219||||||
88.99.11.26|/Dash Core:0.17.0.3/|70221||||||
92.204.40.25|/Dash Core:0.16.1.1/|70218||||||
94.130.59.67|/Dash Core:0.16.1.1/|70218||||||
95.216.84.33|/Dash Core:0.17.0.3/|70219||||||
95.216.84.33|/Dash Core:0.17.0.3/|70221||||||
