# https://chainz.cryptoid.info/ and whois results
# DigiByte
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.36.121.119|/digiwallet:1.0.0/|70017|701|100.36.0.0/16|US|arin|2010-12-28|UUNET, US
102.89.33.45|/digiwallet:1.0.0/|70017|29465|102.89.33.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
104.238.221.144|/DigiByte:7.17.2/|70017||||||
104.238.221.41|DigiByte:7.17.3|70018|23470|104.238.221.0/24|US|arin|2018-04-13|RELIABLESITE, US
104.238.221.41|DigiByte:7.17.3|70017|23470|104.238.221.0/24|US|arin|2018-04-13|RELIABLESITE, US
105.112.63.1|/digiwallet:1.0.0/|70017|36873|105.112.63.0/24|NG|afrinic|2013-09-20|VNL1-AS, NG
107.213.91.83|/DigiByte:7.17.3/|70017||||||
108.76.185.237|/DigiByte:7.17.2/|70017||||||
109.123.191.195|/DigiByte:7.17.2/|70017||||||
112.215.151.175|/digiwallet:1.0.0/|70017|24203|112.215.151.0/24|ID|apnic|2009-02-19|NAPXLNET-AS-ID PT XL Axiata, ID
113.174.164.64|/digiwallet:1.0.0/|70017|45899|113.174.160.0/20|VN|apnic|2008-11-04|VNPT-AS-VN VNPT Corp, VN
115.164.218.89|/digiwallet:1.0.0/|70017|4818|115.164.0.0/16|MY|apnic|2008-08-22|DIGIIX-AP DiGi Telecommunications Sdn. Bhd., MY
117.20.113.140|/digiwallet:1.0.0/|70017|45498|117.20.113.0/24|KH|apnic|2007-06-22|SMART-AXIATA-KH SMART AXIATA Co., Ltd., KH
120.133.230.84|/DigiByte:7.17.2/|70017||||||
121.44.199.8|/DigiByte:7.17.2/|70017||||||
128.199.250.222|/DigiByte:7.17.2/|70017||||||
13.212.127.218|/DigiByte:7.17.3/|70017||||||
13.230.19.97|/DigiByte:7.17.2/|70017||||||
134.209.100.221|/DigiByte:7.17.2/|70017||||||
134.209.76.157|/DigiByte:7.17.2/|70017||||||
135.148.34.66|/DigiByte:7.17.2/|70017||||||
135.181.211.44|/DigiByte:7.17.2/|70017||||||
136.24.44.100|/DigiByte:7.17.2/|70017||||||
136.55.90.216|/DigiByte:7.17.3/|70017||||||
138.68.9.6|/digibyte-seeder:0.01/|70017|14061|138.68.0.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
139.162.42.155|/DigiByte:7.17.3/|70017||||||
142.161.252.95|/DigiByte:7.17.2/|70017||||||
143.110.229.124|/DigiByte:7.17.2/|70017||||||
144.217.11.196|/DigiByte:7.17.2/|70017||||||
144.91.82.187|/DigiByte:7.17.2/|70017||||||
147.229.14.216|/DigiByte:7.17.3/|70017||||||
149.248.15.85|/digibyte-seeder:0.01/|70017|20473|149.248.0.0/19|US|arin|2018-07-03|AS-CHOOPA, US
149.56.155.28|/DigiByte:7.17.2/|70017||||||
149.97.224.90|/DigiByte:7.17.3/|70017||||||
154.160.3.31|/digiwallet:1.0.0/|70017|30986|154.160.3.0/24|GH|afrinic|2017-03-30|SCANCOM, GH
156.17.103.2|/DigiByte:7.17.2/|70017||||||
157.100.201.80|/DigiByte:7.17.3/|70017||||||
157.90.89.105|/DigiByte:7.17.2/|70017||||||
163.41.112.5|/DigiByte:7.17.2/|70017||||||
164.52.207.218|/DigiByte:7.17.2/|70017||||||
164.92.148.102|/digibyte-seeder:0.01/|70017|14061|164.92.144.0/20|US|arin|2020-05-04|DIGITALOCEAN-ASN, US
165.22.92.6|/DigiByte:7.17.2/|70017||||||
167.86.116.187|/DigiByte:7.17.2/|70017||||||
172.105.36.91|/DigiByte:7.17.3/|70017||||||
172.58.108.124|/digiwallet:1.0.0/|70017|21928|172.58.104.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
173.187.191.219|/DigiByte:7.17.2/|70017||||||
173.212.245.138|/DigiByte:7.17.2/|70017||||||
174.214.0.85|/digiwallet:1.0.0/|70017|6167|174.214.0.0/20|US|arin|2008-12-16|CELLCO-PART, US
174.48.186.160|/DigiByte:7.17.2/|70017||||||
176.188.102.79|/DigiByte:7.17.2/|70017||||||
176.64.35.174|/DigiByte:7.17.2/|70017||||||
177.12.208.143|/digiwallet:1.0.0/|70017|270749|177.12.208.0/24|BR|lacnic|2020-05-26|ALCIONE DE SANTANA LIMA ME, BR
177.72.155.36|/digiwallet:1.0.0/|70017|270861|177.72.155.0/24|BR|lacnic|2020-06-25|JF TELECOM SERV. TELECOMUNICACOES LTDA, BR
178.118.29.226|/DigiByte:7.17.3/|70017||||||
178.33.239.42|/DigiByte:7.17.3/|70017||||||
178.62.194.118|/DigiByte:7.17.2/|70017||||||
182.2.40.201|/digiwallet:1.0.0/|70017|23693|182.2.32.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
185.113.128.13|/DigiByte:7.17.2/|70017||||||
185.117.74.45|/DigiByte:7.17.2/|70017||||||
185.50.24.15|/DigiByte:7.17.2/|70017||||||
185.50.24.92|/DigiByte:7.17.2/|70017||||||
186.189.239.167|/DigiByte:7.17.2/|70017||||||
192.145.124.242|/DigiByte:7.17.3/|70017||||||
192.199.240.194|/DigiByte:7.17.2/|70017||||||
192.64.112.86|/DigiByte:7.17.2/|70017||||||
193.121.83.5|/DigiByte:7.17.2/|70017||||||
195.80.140.22|/DigiByte:7.17.2/|70017||||||
198.211.114.53|/DigiByte:7.17.2/|70017||||||
198.27.82.41|???|0|16276|198.27.64.0/18|CA|arin|2012-08-28|OVH, FR
199.127.62.235|DigiByte:7.17.3|70018|23470|199.127.62.0/24|US|arin|2017-05-24|RELIABLESITE, US
199.127.62.235|DigiByte:7.17.3|70017|23470|199.127.62.0/24|US|arin|2017-05-24|RELIABLESITE, US
20.47.86.103|/digiwallet:1.0.0/|70017|8069|20.47.86.0/24|US|arin|2017-10-18|MICROSOFT-CORP-MSN-AS-BLOCK, US
201.185.133.190|/digiwallet:1.0.0/|70017|13489|201.184.0.0/15|CO|lacnic|2011-03-31|EPM Telecomunicaciones S.A. E.S.P., CO
206.189.131.144|DigiByte:7.17.3|70018|14061|206.189.128.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.131.144|DigiByte:7.17.3|70017|14061|206.189.128.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.255.20.170|/DigiByte:7.17.2/|70017||||||
207.201.203.254|/DigiByte:7.17.2/|70017||||||
211.36.142.155|/digiwallet:1.0.0/|70017|17853|211.36.142.0/24|KR|apnic|1999-08-27|LGTELECOM-AS-KR LGTELECOM, KR
213.32.6.132|/DigiByte:7.17.2/|70017||||||
216.59.225.154|/DigiByte:7.17.3/|70017||||||
217.240.84.225|/DigiByte:7.17.2/|70017|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
222.155.23.77|/digiwallet:1.0.0/|70017|4771|222.155.16.0/21|NZ|apnic|2005-10-20|SPARKNZ Spark New Zealand Trading Ltd., NZ
223.24.166.112|/digiwallet:1.0.0/|70017|132061|223.24.166.0/24|TH|apnic|2010-08-10|REALMOVE-AS-AP Realmove Company Limited, TH
23.227.150.229|/DigiByte:7.17.2/|70017||||||
23.88.64.248|/DigiByte:7.17.2/|70017|24940|23.88.0.0/17|DE|ripencc|2013-06-07|HETZNER-AS, DE
27.23.156.224|/DigiByte:7.17.3/|70017||||||
3.97.140.225|/DigiByte:7.17.2/|70017||||||
31.172.68.146|/DigiByte:7.17.2/|70017||||||
34.107.72.59|/DigiByte:7.17.3/|70017||||||
34.225.224.198|/DigiByte:7.17.2/|70017|14618|34.224.0.0/12|US|arin|2016-09-12|AMAZON-AES, US
34.242.205.169|/DigiByte:7.17.2/|70017|16509|34.240.0.0/13|US|arin|2016-09-12|AMAZON-02, US
34.245.71.30|/DigiByte:7.17.2/|70017|16509|34.240.0.0/13|US|arin|2016-09-12|AMAZON-02, US
35.204.102.165|/DigiByte:7.17.3/|70017||||||
37.49.230.5|/DigiByte:7.17.2/|70017|213371|37.49.230.0/24|BZ|ripencc|2012-01-26|SQUITTER-NETWORKS, NL
37.59.236.139|/DigiByte:7.17.2/|70017|16276|37.59.0.0/16|FR|ripencc|2012-01-16|OVH, FR
37.59.35.38|/DigiByte:7.17.2/|70017||||||
38.15.214.77|/DigiByte:7.17.2/|70017||||||
38.242.250.43|/DigiByte:7.17.3/|70017||||||
41.193.223.50|/DigiByte:7.17.3/|70017||||||
41.50.136.8|/DigiByte:7.17.2/|70017||||||
45.126.209.106|DigiByte:7.17.3|70018|23470|45.126.209.0/24|SG|apnic|2015-09-08|RELIABLESITE, US
45.126.209.106|DigiByte:7.17.3|70017|23470|45.126.209.0/24|SG|apnic|2015-09-08|RELIABLESITE, US
45.136.246.75|/DigiByte:7.17.2/|70017||||||
46.137.231.10|/DigiByte:7.17.3/|70017||||||
47.75.194.174|/DigiByte:7.17.3/|70017||||||
5.149.155.141|/DigiByte:7.17.3/|70017||||||
5.188.173.19|/DigiByte:7.17.2/|70017||||||
5.189.165.69|/DigiByte:7.17.2/|70017||||||
5.253.207.45|/DigiByte:7.17.3/|70017||||||
5.9.102.250|/DigiByte:7.17.2/|70017||||||
5.9.193.22|/DigiByte:7.17.2/|70017||||||
50.100.173.39|/DigiByte:7.17.2/|70017||||||
50.213.167.113|/DigiByte:7.17.2/|70017||||||
50.220.121.211|/DigiByte:7.17.2/|70017||||||
51.195.234.88|/DigiByte:7.17.2/|70017||||||
51.210.220.135|/DigiByte:7.17.2/|70017||||||
51.83.186.57|/DigiByte:7.17.2/|70017||||||
51.91.107.13|/DigiByte:7.17.2/|70017||||||
54.212.83.151|/digibyte-seeder:0.01/|70017|16509|54.212.0.0/16|US|arin|2014-10-23|AMAZON-02, US
54.250.134.234|/DigiByte:7.17.2/|70017||||||
54.36.111.142|/DigiByte:7.17.2/|70017||||||
54.36.173.115|/DigiByte:7.17.2/|70017||||||
54.37.139.32|/DigiByte:7.17.2/|70017||||||
54.38.107.228|/DigiByte:7.17.3/|70017||||||
54.39.189.246|/DigiByte:7.17.2/|70017||||||
60.226.144.80|/DigiByte:7.17.3/|70017||||||
60.226.156.205|/DigiByte:7.17.3/|70017||||||
63.32.108.59|/DigiByte:7.17.2/|70017||||||
63.35.238.69|/DigiByte:7.17.2/|70017||||||
64.20.63.242|/DigiByte:7.17.3/|70017||||||
64.227.97.247|/DigiByte:7.17.2/|70017||||||
65.108.68.168|/DigiByte:7.17.2/|70017||||||
65.21.236.190|/DigiByte:7.17.2/|70017||||||
66.151.16.66|/DigiByte:7.17.2/|70017||||||
66.161.230.197|/DigiByte:7.17.3/|70017||||||
66.23.237.22|/DigiByte:7.17.3/|70017|19318|66.23.224.0/20|US|arin|2010-10-07|IS-AS-1, US
66.70.182.1|/DigiByte:7.17.2/|70017||||||
66.74.72.134|/DigiByte:7.17.2/|70017||||||
67.163.230.180|/DigiByte:7.17.3/|70017|7922|67.160.0.0/11|US|arin|2002-12-16|COMCAST-7922, US
68.118.221.26|/DigiByte:7.17.3/|70017|20115|68.118.208.0/20|US|arin|2002-03-14|CHARTER-20115, US
69.243.211.159|/digiwallet:1.0.0/|70017|7922|69.240.0.0/12|US|arin|2004-02-11|COMCAST-7922, US
69.244.126.14|/DigiByte:7.17.2/|70017||||||
69.4.107.171|/DigiByte:7.17.2/|70017||||||
70.30.76.139|/DigiByte:7.17.3/|70017|577|70.30.0.0/16|CA|arin|2008-01-28|BACOM, CA
70.52.87.204|/DigiByte:7.17.2/|70017||||||
71.232.2.21|/DigiByte:7.17.2/|70017||||||
72.182.106.96|/DigiByte:7.17.2/|70017||||||
72.82.239.210|/DigiByte:7.17.3/|70017|701|72.82.128.0/17|US|arin|2005-06-24|UUNET, US
73.18.78.21|/DigiByte:7.17.2/|70017||||||
75.119.157.65|/DigiByte:7.17.2/|70017||||||
75.85.2.213|/DigiByte:7.17.2/|70017||||||
76.167.37.226|/DigiByte:7.17.3/|70017|20001|76.166.0.0/15|US|arin|2006-07-26|TWC-20001-PACWEST, US
77.75.36.104|/DigiByte:7.17.2/|70017||||||
78.145.67.228|/DigiByte:7.17.2/|70017||||||
79.244.163.32|/DigiByte:7.17.2/|70017||||||
8.135.100.61|/DigiByte:7.17.2/|70017||||||
8.218.140.132|/DigiByte:7.17.2/|70017||||||
8.218.7.94|/DigiByte:7.17.2/|70017||||||
80.3.224.107|/DigiByte:7.17.2/|70017||||||
81.222.188.227|/DigiByte:7.17.3/|70017|16345|81.222.188.0/22|RU|ripencc|2002-11-28|BEE-AS Russia, RU
83.82.29.37|/DigiByte:7.17.3/|70017|33915|83.80.0.0/14|NL|ripencc|2003-11-28|TNF-AS, NL
85.249.42.94|/DigiByte:7.17.3/|70017|8402|85.249.32.0/19|RU|ripencc|2005-01-24|CORBINA-AS OJSC Vimpelcom, RU
87.178.181.145|/DigiByte:7.17.3/|70017|3320|87.128.0.0/10|DE|ripencc|2006-03-30|DTAG Internet service provider operations, DE
88.152.9.183|/DigiByte:7.17.2/|70017||||||
88.208.115.69|/DigiByte:7.17.3/|70017|29208|88.208.64.0/18|CZ|ripencc|2005-10-28|DIALTELECOM-AS Dial Telecom a.s., CZ
89.173.230.153|/DigiByte:7.17.3/|70017|6830|89.173.128.0/17|SK|ripencc|2006-03-24|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
91.202.26.23|/DigiByte:7.17.2/|70017||||||
92.211.135.128|/DigiByte:7.17.2/|70017||||||
94.19.132.255|/DigiByte:7.17.2/|70017||||||
94.23.2.215|/DigiByte:7.17.2/|70017||||||
94.240.50.122|/DigiByte:7.17.2/|70017||||||
95.216.149.253|/DigiByte:7.17.2/|70017||||||
95.216.20.235|/DigiByte:7.17.2/|70017||||||
95.216.224.148|/DigiByte:7.17.2/|70017||||||
95.216.97.96|/DigiByte:7.17.2/|70017||||||
95.80.77.78|/DigiByte:7.17.2/|70017||||||
97.116.95.210|/DigiByte:7.17.3/|70017|209|97.116.0.0/17|US|arin|2007-12-19|CENTURYLINK-US-LEGACY-QWEST, US
98.111.209.117|/digiwallet:1.0.0/|70017|701|98.111.192.0/18|US|arin|2008-04-02|UUNET, US
98.55.172.254|/DigiByte:7.17.2/|70017||||||
99.233.132.101|/DigiByte:7.17.2/|70017||||||
99.80.66.29|/DigiByte:7.17.2/|70017||||||
