# https://chainz.cryptoid.info/ and whois results
# DopeCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.185.175.173|/Dopecoin:4.0.0.5/|40001||||||
107.198.57.205|/Dopecoin:4.0.0.4/|40001||||||
112.198.76.163|???|0||||||
112.198.79.123|???|0||||||
121.121.78.16|/Dopecoin Core:4.1.0/|40002||||||
217.240.42.214|/Dopecoin Core:4.1.0/|40002||||||
217.241.94.242|/Dopecoin Core:4.1.0/|40002||||||
46.53.243.29|/DigiGreen Core:4.2.0/|40003||||||
69.165.239.235|/DigiGreen Core:4.2.0/|40003||||||
88.111.145.0|/Dopecoin Core:4.1.0/|40002||||||
93.219.170.197|/Dopecoin Core:4.1.0/|40002||||||
94.189.163.124|/DigiGreen Core:4.2.0/|40003||||||
94.253.192.245|/Dopecoin Core:4.1.0/|40002||||||
95.216.38.179|/Dopecoin:4.0.0.6/|40001||||||
