# https://chainz.cryptoid.info/ and whois results
# Feathercoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.13.171.254|/Feathercoin:0.19.1/|70016||||||
110.39.163.177|/Feathercoin:0.19.1/|70016||||||
114.222.212.91|/Feathercoin:0.19.1/|70016||||||
13.209.60.161|/Feathercoin:0.19.1/|70016||||||
139.162.216.67|/Feathercoin:0.19.1/|70016||||||
139.59.154.236|/Feathercoin:0.19.1/|70016||||||
143.110.159.82|/Feathercoin:0.19.1/|70016|14061|143.110.144.0/20|US|arin|2020-01-17|DIGITALOCEAN-ASN, US
143.198.121.253|Feathercoin:0.19.1|70016|14061|143.198.112.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
144.126.148.238|/Feathercoin:0.19.1/|70016||||||
147.135.97.55|/Feathercoin:0.18.3/|70016||||||
149.202.78.163|/Feathercoin:0.19.1/|70016||||||
149.56.155.28|/Feathercoin:0.19.1/|70016||||||
159.69.64.208|/Feathercoin:0.19.1/|70016||||||
161.97.172.98|/Feathercoin:0.19.1/|70016||||||
172.98.80.61|/Feathercoin:0.19.1/|70016||||||
173.56.235.225|/Feathercoin:0.18.2/|70016|701|173.56.0.0/16|US|arin|2008-10-09|UUNET, US
175.27.231.253|/Feathercoin:0.19.1/|70016||||||
176.9.50.227|/Feathercoin:0.17.0/|70016|24940|176.9.0.0/16|DE|ripencc|2011-05-17|HETZNER-AS, DE
178.18.247.153|/Feathercoin:0.19.1/|70016||||||
185.45.193.32|/Feathercoin:0.19.1/|70016||||||
188.166.227.187|/Feathercoin:0.19.1/|70016||||||
188.166.72.211|/Feathercoin:0.18.3/|70016||||||
192.119.13.171|/Feathercoin:0.18.2/|70016||||||
193.40.103.252|/Feathercoin:0.19.1/|70016||||||
194.124.156.44|/Feathercoin:0.19.1/|70016||||||
195.201.160.242|/Feathercoin:0.19.1/|70016||||||
195.201.164.117|/Feathercoin:0.19.1/|70016||||||
195.50.206.74|/Feathercoin:0.19.1/|70016||||||
198.100.149.160|/Feathercoin:0.19.1/|70016||||||
198.211.114.53|/Feathercoin:0.19.1/|70016|14061|198.211.112.0/22|US|arin|2013-02-15|DIGITALOCEAN-ASN, US
198.27.70.189|/Feathercoin:0.19.1/|70016||||||
198.74.53.157|/Feathercoin:0.19.1/|70016||||||
199.127.62.235|Feathercoin:0.19.1|70016|23470|199.127.62.0/24|US|arin|2017-05-24|RELIABLESITE, US
2.29.143.16|/Feathercoin:0.18.1/|70016|12576|2.29.0.0/16|GB|ripencc|2010-09-21|EE Ltd, GB
206.189.131.144|Feathercoin:0.19.1|70016|14061|206.189.128.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
206.189.158.128|/Feathercoin:0.19.1/|70016|14061|206.189.144.0/20|US|arin|1995-11-15|DIGITALOCEAN-ASN, US
217.240.84.225|/Feathercoin:0.17.0.1/|70016|3320|217.224.0.0/11|DE|ripencc|2001-04-04|DTAG Internet service provider operations, DE
23.97.222.172|/Feathercoin:0.13.3/|70015||||||
34.225.224.198|/Feathercoin:0.19.1/|70016||||||
34.231.68.33|/Feathercoin:0.19.1/|70016|14618|34.224.0.0/12|US|arin|2016-09-12|AMAZON-AES, US
39.82.202.66|/Feathercoin:0.18.2/|70016|4837|39.64.0.0/11|CN|apnic|2011-03-30|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
44.226.133.129|/Feathercoin:0.19.1/|70016||||||
45.126.209.106|Feathercoin:0.19.1|70016|23470|45.126.209.0/24|SG|apnic|2015-09-08|RELIABLESITE, US
45.72.225.110|/FeathercoinJ:0.99/Feathercoin Wallet:3.05/|70006|5645|45.72.128.0/17|CA|arin|2015-04-16|TEKSAVVY, CA
46.101.143.71|/Feathercoin:0.13.3/|70015|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.23.35.70|/Feathercoin:0.19.1/|70016|24651|46.23.32.0/20|LV|ripencc|2010-12-02|LVBALTICOM-AS, LV
47.242.189.120|/Feathercoin:0.19.1/|70016||||||
49.12.127.111|/Feathercoin:0.19.1/|70016|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE
49.12.127.114|/Feathercoin:0.19.1/|70016|24940|49.12.0.0/16|DE|ripencc|2010-10-21|HETZNER-AS, DE
5.188.173.19|/Feathercoin:0.19.1/|70016||||||
50.220.121.211|/Feathercoin:0.19.1/|70016||||||
51.195.31.242|/Feathercoin:0.19.1/|70016|16276|51.195.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.210.32.161|/Feathercoin:0.19.1/|70016|16276|51.210.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.38.57.53|/Feathercoin:0.19.1/|70016|16276|51.38.0.0/16|FR|ripencc|1993-09-01|OVH, FR
51.89.211.42|/Feathercoin:0.19.1/|70016||||||
58.186.46.245|/Feathercoin:0.19.1/|70016|18403|58.186.44.0/22|VN|apnic|2005-07-14|FPT-AS-AP FPT Telecom Company, VN
62.12.153.168|/Feathercoin:0.19.1/|70016||||||
64.98.70.174|/Feathercoin:0.19.1/|70016||||||
66.70.182.1|/Feathercoin:0.19.1/|70016|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
67.199.179.49|/Feathercoin:0.18.3/|70016|36223|67.199.176.0/22|US|arin|2008-08-27|SPANISHFORK-COMMUNITY-NETWORK, US
69.30.211.114|/Feathercoin:0.18.3/|70016|32097|69.30.192.0/18|US|arin|2004-03-16|WII, US
70.49.109.112|/Feathercoin:0.19.1/|70016||||||
70.91.250.149|/Feathercoin:0.19.1/|70016|7922|70.88.0.0/14|US|arin|2004-08-09|COMCAST-7922, US
71.205.64.85|/Feathercoin:0.19.1/|70016||||||
73.8.234.217|/Feathercoin:0.19.1/|70016||||||
74.137.64.15|/Feathercoin:0.13.0/|70015|10796|74.128.0.0/12|US|arin|2006-04-07|TWC-10796-MIDWEST, US
80.208.189.250|/Feathercoin:0.19.1/|70016||||||
81.146.28.107|/Feathercoin:0.19.1/|70016||||||
81.169.141.19|/Feathercoin:0.19.1/|70016||||||
81.169.175.185|/Feathercoin:0.19.1/|70016||||||
82.64.185.60|/Feathercoin:0.18.2/|70016||||||
82.65.170.48|/Feathercoin:0.19.1/|70016||||||
82.66.94.6|/Feathercoin:0.19.1/|70016||||||
85.19.25.38|/Feathercoin:0.19.1/|70016||||||
85.218.65.172|/Feathercoin:0.19.1/|70016||||||
86.63.103.5|/Feathercoin:0.13.1/|70015|35191|86.63.64.0/18|PL|ripencc|2005-06-17|ASTA-NET, PL
87.139.255.26|/Feathercoin:0.19.1/|70016||||||
90.255.44.9|/Feathercoin:0.18.3/|70016|5378|90.252.0.0/14|GB|ripencc|2006-09-08|Vodafone, GB
93.94.139.4|/Feathercoin:0.19.1/|70016||||||
94.130.35.94|/Feathercoin:0.19.1/|70016|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
95.217.145.94|/Feathercoin:0.18.3/|70016|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
95.217.78.168|/Feathercoin:0.13.0/|70015||||||
95.79.111.243|/Feathercoin:0.19.1/|70016||||||
99.159.252.170|/Feathercoin:0.13.1/|70015|7018|99.158.0.0/15|US|arin|2007-08-29|ATT-INTERNET4, US
99.47.241.21|/Feathercoin:0.19.1/|70016||||||
