# https://chainz.cryptoid.info/ and whois results
# GoldCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.89.34.14|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.89.34.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.89.40.243|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.89.40.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.89.41.107|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.89.41.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.89.42.232|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.89.42.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.89.42.64|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.89.42.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.89.46.61|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.89.46.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.91.4.174|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.91.4.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.91.4.55|???|0|29465|102.91.4.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
102.91.5.169|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|29465|102.91.5.0/24|NG|afrinic|2018-09-04|VCG-AS, NG
103.105.31.110|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|45727|103.105.31.0/24|ID|apnic|2017-12-04|THREE-AS-ID Hutchison CP Telecommunications, PT, ID
103.108.130.13|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|55685|103.108.130.0/24|ID|apnic|2018-01-30|JLM-AS-ID PT Jala Lintas Media, ID
103.133.56.221|/GoldcoinCore:0.14.8/|70015|138131|103.133.56.0/24|ID|apnic|2019-01-22|IDNIC-NATANET-AS-ID CV. NATANETWORK SOLUTION, ID
103.144.146.34|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|139428|103.144.146.0/24|ID|apnic|2019-10-25|IDNIC-LEXXADATA-AS-ID PT.LEXXA DATA INDONUSA, ID
103.149.238.206|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|140384|103.149.238.0/24|ID|apnic|2020-03-27|BITNIAGA-AS-ID PT BITNIAGA CIPTA GEMILANG, ID
103.156.17.91|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|141077|103.156.17.0/24|ID|apnic|2020-09-18|RSTNET-AS-ID RSTNET, ID
103.165.156.94|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|136873|103.165.156.0/24|ID|apnic|2021-04-05|MEGADATA-AS-ID PT. MEGA ARTHA LINTAS DATA, ID
103.208.205.177|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|134651|103.208.205.0/24|ID|apnic|2016-02-09|YETOYA-AS-ID PT Yetoya Solusi Indonesia, ID
103.213.128.108|/goldcoinj:0.14.9/Goldcoin Wallet:6.41.2/|70000|17670|103.213.128.0/24|ID|apnic|2016-04-04|MNCKABELMEDIACOM-ID PT. MNC Kabel Mediacom, ID
