# https://chainz.cryptoid.info/ and whois results
# Lanacoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
159.65.206.24|/Lana:1.0.0.1/|60001|14061|159.65.192.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US
188.19.175.43|/Lana:1.0.0.1/|60001|12389|188.19.160.0/20|RU|ripencc|2009-02-03|ROSTELECOM-AS, RU
188.243.182.166|/Lana:1.0.0.1/|60001||||||
189.29.170.154|/Lana:1.0.0.1/|60001|28573|189.29.128.0/18|BR|lacnic|2007-04-02|Claro NXT Telecomunicacoes Ltda, BR
193.164.140.162|/Lana:1.0.0.1/|60001|41427|193.164.140.0/24|SI|ripencc|2006-08-18|MARC-NET_AS, SI
193.77.158.82|/Lana:1.0.0.1/|60001|5603|193.77.128.0/18|SI|ripencc|1993-09-01|SIOL-NET Telekom Slovenije d.d., SI
2.124.60.231|/Lana:1.0.0.1/|60001|5607|2.120.0.0/13|GB|ripencc|2010-04-14|BSKYB-BROADBAND-AS, GB
31.151.47.220|/Lana:1.0.0.1/|60001|33915|31.151.0.0/17|NL|ripencc|2011-02-17|TNF-AS, NL
37.24.189.124|/Lana:1.0.0.1/|60001|3209|37.24.128.0/17|DE|ripencc|2011-12-22|VODANET International IP-Backbone of Vodafone, DE
45.132.247.73|/Lana:1.0.0.1/|60001|197540|45.132.244.0/22|DE|ripencc|2019-07-24|NETCUP-AS netcup GmbH, DE
45.177.92.49|/Lana:1.0.0.1/|60001|267891|45.177.92.0/22|AR|lacnic|2019-06-10|COOPERATIVA DE SERVICIOS Y OBRAS PUBLICAS LIMITADA DE RIVERA, AR
45.178.0.44|/Lana:1.0.0.1/|60001|267882|45.178.0.0/24|AR|lacnic|2019-06-04|AGENCIA DE CIENCIA, TECNOLOGIA Y SOCIEDAD SAN LUIS, AR
46.101.235.143|/Lana:1.0.0.1/|60001|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
46.138.39.22|/Lana:1.0.0.1/|60001|25513|46.138.36.0/22|RU|ripencc|2010-11-18|ASN-MGTS-USPD, RU
5.227.25.88|/Lana:1.0.0.1/|60001|8580|5.227.24.0/22|RU|ripencc|2012-09-07|SANDY MTS Nizhniy Novgorod, Russia, RU
51.38.57.53|/Lana:1.0.0.1/|60001||||||
62.217.187.65|/Lana:1.0.0.1/|60001|41275|62.217.184.0/21|RU|ripencc|2002-04-10|LEALTA-AS Moscow, Russia, RU
66.55.78.57|/Lana:1.0.0.1/|60001|8100|66.55.78.0/24|US|arin|2009-10-08|ASN-QUADRANET-GLOBAL, US
79.184.226.96|/Lana:1.0.0.1/|60001|5617|79.184.0.0/13|PL|ripencc|2007-06-15|TPNET, PL
81.251.130.165|/Lana:1.0.0.1/|60001||||||
84.162.172.128|/Lana:1.0.0.1/|60001|3320|84.128.0.0/10|DE|ripencc|2004-03-10|DTAG Internet service provider operations, DE
84.240.13.156|/Lana:1.0.0.1/|60001|21211|84.240.8.0/21|LT|ripencc|2004-06-03|PENKI-AS LT-01115, Vilnius, LT
86.86.168.91|/Lana:1.0.0.1/|60001|1136|86.80.0.0/12|NL|ripencc|2005-03-23|KPN KPN National, NL
87.123.245.100|/Lana:1.0.0.1/|60001|8881|87.123.240.0/21|DE|ripencc|2005-07-27|VERSATEL, DE
87.123.245.150|/Lana:1.0.0.1/|60001|8881|87.123.240.0/21|DE|ripencc|2005-07-27|VERSATEL, DE
88.198.62.49|/Lana:1.0.0.1/|60001|24940|88.198.0.0/16|DE|ripencc|2005-12-27|HETZNER-AS, DE
89.142.112.143|/Lana:1.0.0.1/|60001|5603|89.142.64.0/18|SI|ripencc|2006-03-03|SIOL-NET Telekom Slovenije d.d., SI
89.142.65.211|/Lana:1.0.0.1/|60001||||||
89.71.156.196|/Lana:1.0.0.1/|60001|6830|89.64.0.0/13|PL|ripencc|2006-02-22|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL
91.206.16.214|/Lana:1.0.0.1/|60001||||||
93.103.20.240|/Lana:1.0.0.1/|60001|34779|93.103.0.0/19|SI|ripencc|2008-03-14|T-2-AS AS set propagated by T-2 d.o.o., SI
95.217.77.209|/Lana:1.0.0.1/|60001||||||
99.148.47.138|/Lana:1.0.0.1/|60001|7018|99.148.0.0/15|US|arin|2007-08-29|ATT-INTERNET4, US
