# https://chainz.cryptoid.info/ and whois results
# Litecoin Cash
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
106.51.17.1|/LitecoinCashCore:0.16.3/|70015|24309|106.51.16.0/22|IN|apnic|2011-03-24|CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA, IN
107.167.244.51|/LitecoinCashCore:0.16.3/|70015|25780|107.167.244.0/24|US|arin|2014-02-04|HUGESERVER-NETWORKS, US
107.185.67.188|/LitecoinCashCore:0.16.3/|70015|20001|107.184.0.0/15|US|arin|2014-02-12|TWC-20001-PACWEST, US
108.214.64.194|/LitecoinCashCore:0.16.3/|70015|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
109.129.137.76|/LitecoinCashCore:0.16.3/|70015|5432|109.128.0.0/14|BE|ripencc|2009-07-27|PROXIMUS-ISP-AS, BE
109.171.3.39|/LitecoinCashCore:0.16.3/|70015||||||
109.227.212.76|/LitecoinCashCore:0.16.3/|70015||||||
124.13.86.223|/LitecoinCashCore:0.16.3/|70015||||||
130.223.123.231|/LitecoinCashCore:0.16.3/|70015||||||
135.181.40.86|/LitecoinCashCore:0.16.3/|70015||||||
138.34.87.247|/LitecoinCashCore:0.16.3/|70015||||||
138.88.34.59|/LitecoinCashCore:0.16.3/|70015||||||
141.95.146.47|/LitecoinCashCore:0.16.3/|70015|16276|141.95.128.0/17|FR|ripencc|1993-02-18|OVH, FR
148.255.86.10|/LitecoinCashCore:0.16.3/|70015||||||
151.252.69.107|/LitecoinCashCore:0.16.3/|70015||||||
156.17.103.2|/LitecoinCashCore:0.16.2/|70015|8970|156.17.0.0/16|PL|ripencc|1991-11-01|WASK WROCMAN-EDU educational part of WASK network, Wroclaw, Poland, PL
157.90.223.151|/LitecoinCashCore:0.16.3/|70015||||||
158.140.164.70|???|0||||||
161.53.28.4|/LitecoinCashCore:0.16.3/|70015||||||
161.97.138.207|/LitecoinCashCore:0.16.3/|70015||||||
161.97.83.204|/LitecoinCashCore:0.16.3/|70015||||||
163.158.50.82|/LitecoinCashCore:0.16.3/|70015||||||
165.227.63.228|/LitecoinCashCore:0.16.3/|70015||||||
166.170.55.7|/LitecoinCashCore:0.16.3/|70015||||||
172.1.237.74|/LitecoinCashCore:0.16.3/|70015||||||
173.238.130.163|/LitecoinCashCore:0.15.0.1/|70015|7992|173.238.0.0/16|CA|arin|2010-05-06|COGECOWAVE, CA
174.138.11.69|/LitecoinCashCore:0.16.3/|70015||||||
176.10.199.244|/LitecoinCashCore:0.16.3/|70015||||||
176.101.2.205|/LitecoinCashCore:0.16.3/|70015|43936|176.101.0.0/20|UA|ripencc|2011-11-02|EVPANET-AS, UA
176.102.68.75|/LitecoinCashCore:0.16.3/|70015||||||
176.215.67.202|/LitecoinCashCore:0.16.3/|70015||||||
177.71.109.29|/LitecoinCashCore:0.16.3/|70015||||||
178.151.38.248|/LitecoinCashCore:0.16.3/|70015||||||
178.166.171.105|/LitecoinCashCore:0.16.3/|70015||||||
178.174.167.193|/LitecoinCashCore:0.16.3/|70015||||||
178.234.230.20|/LitecoinCashCore:0.16.3/|70015||||||
178.34.163.160|/LitecoinCashCore:0.16.3/|70015||||||
180.246.79.4|/LitecoinCashCore:0.16.3/|70015||||||
181.94.226.207|/LitecoinCashCore:0.16.3/|70015||||||
182.217.120.123|/LitecoinCashCore:0.16.3/|70015||||||
185.107.57.85|/LitecoinCashCore:0.16.3/|70015||||||
185.43.191.237|/LitecoinCashCore:0.16.3/|70015||||||
185.82.203.241|/LitecoinCashCore:0.16.3/|70015||||||
188.166.117.139|/LitecoinCashCore:0.16.3/|70015||||||
188.172.220.71|/LitecoinCashCore:0.16.3/|70015||||||
188.19.38.226|/LitecoinCashCore:0.16.3/|70015||||||
193.92.83.164|/LitecoinCashCore:0.16.3/|70015||||||
195.210.202.211|/LitecoinCashCore:0.16.3/|70015||||||
198.8.85.232|/LitecoinCashCore:0.16.3/|70015||||||
211.228.80.243|/LitecoinCashCore:0.15.0.1/|70015|4766|211.224.0.0/13|KR|apnic|2000-12-12|KIXS-AS-KR Korea Telecom, KR
213.21.40.169|/LitecoinCashCore:0.16.3/|70015||||||
213.227.68.204|/LitecoinCashCore:0.16.3/|70015||||||
213.249.203.37|/LitecoinCashCore:0.16.3/|70015||||||
213.87.122.142|/LitecoinCashCore:0.16.3/|70015||||||
213.87.131.194|/LitecoinCashCore:0.16.3/|70015||||||
213.91.128.133|/LitecoinCashCore:0.16.3/|70015||||||
216.137.116.136|/LitecoinCashCore:0.16.3/|70015||||||
217.107.104.150|/LitecoinCashCore:0.16.3/|70015||||||
217.150.73.162|/LitecoinCashCore:0.16.3/|70015||||||
217.182.199.85|/LitecoinCashCore:0.16.3/|70015||||||
217.232.95.201|/LitecoinCashCore:0.16.3/|70015||||||
217.65.8.75|/LitecoinCashCore:0.16.3/|70015||||||
219.161.0.135|/LitecoinCashCore:0.16.3/|70015||||||
24.240.72.210|/LitecoinCashCore:0.16.3/|70015||||||
24.67.205.102|/LitecoinCashCore:0.16.3/|70015||||||
24.75.197.65|/LitecoinCashCore:0.16.3/|70015||||||
24.91.98.16|/LitecoinCashCore:0.16.3/|70015||||||
27.96.193.11|/LitecoinCashCore:0.15.0.1/|70015|18390|27.96.192.0/22|AU|apnic|2010-05-20|SPIN-INTERNET-AP Spin Internet Service, AU
27.96.193.5|/LitecoinCashCore:0.15.0.1/|70015|18390|27.96.192.0/22|AU|apnic|2010-05-20|SPIN-INTERNET-AP Spin Internet Service, AU
31.25.241.224|/LitecoinCashCore:0.16.3/|70015||||||
31.30.161.231|/LitecoinCashCore:0.16.3/|70015||||||
37.120.212.14|/LitecoinCashCore:0.16.3/|70015||||||
37.214.60.23|/LitecoinCashCore:0.16.3/|70015||||||
37.78.76.200|/LitecoinCashCore:0.16.3/|70015||||||
38.94.243.59|/LitecoinCashCore:0.16.3/|70015||||||
45.76.135.93|/LitecoinCashCore:0.16.3/|70015||||||
46.123.248.248|/LitecoinCashCore:0.16.3/|70015||||||
46.123.248.7|/LitecoinCashCore:0.16.3/|70015||||||
46.123.254.59|/LitecoinCashCore:0.16.3/|70015||||||
46.149.86.107|/LitecoinCashCore:0.16.3/|70015||||||
46.2.141.182|/LitecoinCashCore:0.16.3/|70015||||||
46.73.15.249|/LitecoinCashCore:0.16.3/|70015||||||
47.184.192.89|/LitecoinCashCore:0.16.3/|70015||||||
47.186.91.218|/LitecoinCashCore:0.16.3/|70015||||||
5.138.13.99|/LitecoinCashCore:0.16.3/|70015||||||
5.141.84.130|/LitecoinCashCore:0.16.3/|70015||||||
50.21.227.209|/LitecoinCashCore:0.16.3/|70015||||||
51.38.57.53|/LitecoinCashCore:0.16.3/|70015||||||
63.152.66.246|/LitecoinCashCore:0.16.3/|70015||||||
64.138.194.81|/LitecoinCashCore:0.16.3/|70015||||||
64.233.230.138|/LitecoinCashCore:0.16.3/|70015||||||
66.94.102.152|/LitecoinCashCore:0.16.3/|70015|40021|66.94.96.0/21|US|arin|2021-07-28|CONTABO, US
67.140.197.17|/LitecoinCashCore:0.16.3/|70015||||||
67.205.214.143|/LitecoinCashCore:0.16.1.3/|70015|23089|67.205.208.0/20|US|arin|2007-12-07|HOTWIRE-COMMUNICATIONS, US
67.5.105.229|/LitecoinCashCore:0.16.3/|70015||||||
68.228.220.13|/LitecoinCashCore:0.16.1.3/|70015|22773|68.228.192.0/18|US|arin|2003-03-19|ASN-CXA-ALL-CCI-22773-RDC, US
70.91.250.149|/LitecoinCashCore:0.16.3/|70015||||||
71.205.83.216|/LitecoinCashCore:0.16.1.2/|70015|7922|71.192.0.0/12|US|arin|2005-07-27|COMCAST-7922, US
71.214.34.93|/LitecoinCashCore:0.16.3/|70015||||||
71.69.16.173|/LitecoinCashCore:0.16.3/|70015||||||
71.79.187.72|/LitecoinCashCore:0.16.3/|70015||||||
73.139.17.79|/LitecoinCashCore:0.15.0.1/|70015|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.189.251.133|/LitecoinCashCore:0.16.3/|70015||||||
74.102.86.206|/LitecoinCashCore:0.16.3/|70015||||||
