# https://chainz.cryptoid.info/ and whois results
# Noblecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
138.199.56.65|/Noblecoin:2.1.1.2/|90000|212238|138.199.56.0/24|GB|ripencc|1990-05-23|CDNEXT, GB
138.199.57.38|/Noblecoin:2.1.1.2/|90000||||||
142.4.212.42|/Noblecoin:2.1.1.1/|90000||||||
149.56.155.28|/Noblecoin:2.1.1.2/|90000||||||
160.238.38.244|/Noblecoin:2.1.1.2/|90000|9009|160.238.38.0/24|DE|ripencc|2018-04-23|M247, GB
173.68.191.81|/Noblecoin:2.1.0/|90000|701|173.68.0.0/16|US|arin|2008-08-11|UUNET, US
173.77.97.112|/Noblecoin:2.1.0/|90000|701|173.77.0.0/16|US|arin|2008-08-11|UUNET, US
173.77.97.61|/Noblecoin:2.1.0/|90000|701|173.77.0.0/16|US|arin|2008-08-11|UUNET, US
195.200.221.165|/Noblecoin:2.1.1.2/|90000|136787|195.200.221.0/24|DE|ripencc|2019-11-25|TEFINCOMSA-AS-AP TEFINCOM S.A., PA
24.47.46.152|/Noblecoin:2.1.0/|90000||||||
31.187.69.110|/Noblecoin:2.1.1.2/|90000|136787|31.187.69.0/24|DE|ripencc|2011-03-25|TEFINCOMSA-AS-AP TEFINCOM S.A., PA
35.88.129.2|/Noblecoin:2.1.0/|90000||||||
38.15.35.67|/Noblecoin:2.1.0/|90000|397142|38.15.32.0/19|US|arin|1991-04-16|FORT-COLLINS-CONNEXION, US
45.137.116.171|/Noblecoin:2.1.1.2/|90000|30823|45.137.116.0/24|AE|ripencc|2019-08-05|COMBAHTON combahton GmbH, DE
5.189.128.236|/Noblecoin:2.1.1/|90000||||||
51.83.186.57|/Noblecoin:2.1.1.1/|90000||||||
66.70.182.1|/Noblecoin:2.1.1.1/|90000||||||
71.142.98.206|/Noblecoin:2.1.1.2/|90000||||||
91.17.211.12|/Noblecoin:2.1.1.2/|90000|3320|91.0.0.0/10|DE|ripencc|2006-07-03|DTAG Internet service provider operations, DE
96.252.94.196|/Noblecoin:2.1.1.2/|90000||||||
