# https://chainz.cryptoid.info/ and whois results
# Noir
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
107.189.5.249|/Noir Core:2.2.0/|90049||||||
108.214.8.13|/Noir Core:2.2.0/|90049|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
116.203.133.204|/Noir Core:2.2.0/|90049|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
117.181.57.199|/Noir Core:2.2.0/|90049||||||
135.181.164.190|/Noir Core:2.2.0/|90049||||||
135.181.183.38|/Noir Core:2.2.0/|90049||||||
135.181.42.116|/Noir Core:2.2.0/|90049||||||
144.172.73.66|/Noir Core:2.2.0/|90049||||||
146.190.233.184|/Noir Core:2.2.0/|90049||||||
174.87.124.102|/Noir Core:2.2.0/|90049||||||
180.137.236.6|/Noir Core:2.2.0/|90049|4134|180.136.0.0/13|CN|apnic|2009-08-16|CHINANET-BACKBONE No.31,Jin-rong Street, CN
185.107.47.215|/Noir Core:2.2.0/|90049||||||
185.112.147.12|/Noir Core:2.2.0/|90049||||||
185.220.100.240|/Noir Core:2.2.0/|90049||||||
185.220.100.241|/Noir Core:2.2.0/|90049||||||
185.220.100.242|/Noir Core:2.2.0/|90049||||||
185.220.100.244|/Noir Core:2.2.0/|90049||||||
185.220.100.245|/Noir Core:2.2.0/|90049||||||
185.220.100.247|/Noir Core:2.2.0/|90049||||||
185.220.100.251|/Noir Core:2.2.0/|90049||||||
185.220.100.252|/Noir Core:2.2.0/|90049||||||
185.220.100.254|/Noir Core:2.2.0/|90049||||||
185.220.100.255|/Noir Core:2.2.0/|90049||||||
185.220.101.33|/Noir Core:2.2.0/|90049||||||
185.220.101.35|/Noir Core:2.2.0/|90049||||||
185.220.101.36|/Noir Core:2.2.0/|90049||||||
185.220.101.37|/Noir Core:2.2.0/|90049||||||
185.220.101.38|/Noir Core:2.2.0/|90049||||||
185.220.101.41|/Noir Core:2.2.0/|90049||||||
185.220.101.45|/Noir Core:2.2.0/|90049||||||
185.220.101.55|/Noir Core:2.2.0/|90049||||||
185.220.101.60|/Noir Core:2.2.0/|90049||||||
185.34.33.2|/Noir Core:2.2.0/|90049||||||
185.83.214.69|/Noir Core:2.2.0/|90049||||||
199.195.248.29|/Noir Core:2.2.0/|90049||||||
2.58.56.126|/Noir Core:2.2.0/|90049||||||
217.138.199.92|/Noir Core:2.2.0/|90049||||||
23.128.248.14|/Noir Core:2.2.0/|90049||||||
23.128.248.55|/Noir Core:2.2.0/|90049||||||
23.128.248.73|/Noir Core:2.2.0/|90049||||||
23.128.248.89|/Noir Core:2.2.0/|90049||||||
23.128.248.95|/Noir Core:2.2.0/|90049||||||
23.129.64.136|/Noir Core:2.2.0/|90049||||||
31.52.16.83|/Noir Core:2.2.0/|90049||||||
37.120.140.114|/Noir Core:2.2.0/|90049||||||
45.154.255.138|/Noir Core:2.2.0/|90049||||||
46.138.221.103|/Noir Core:2.2.0/|90049||||||
46.151.159.53|/Noir Core:2.2.0/|90049||||||
47.252.6.71|/Noir Core:2.2.0/|90049||||||
5.135.141.114|/Noir Core:2.2.0.0/|90049||||||
54.37.85.61|/Noir Core:2.2.0.0/|90049||||||
65.21.182.172|/Noir Core:2.2.0/|90049||||||
66.214.104.235|/Noir Core:2.2.0/|90049||||||
70.244.38.189|/Noir Core:2.2.0/|90049||||||
73.38.152.132|/Noir Core:2.2.0/|90049|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
82.68.134.29|/Noir Core:2.2.0/|90049||||||
83.137.158.13|/Noir Core:2.2.0/|90049||||||
83.137.158.6|/Noir Core:2.2.0/|90049||||||
84.119.100.161|/Noir Core:2.2.0/|90049||||||
85.93.218.204|/Noir Core:2.2.0/|90049||||||
89.11.138.183|/Noir Core:2.2.0/|90049||||||
89.187.164.129|/Noir Core:2.2.0/|90049||||||
91.139.188.62|/Noir Core:2.2.0/|90049||||||
91.211.89.207|/Noir Core:2.2.0/|90049||||||
91.211.89.43|/Noir Core:2.2.0/|90049||||||
94.60.94.88|/Noir Core:2.2.0/|90049||||||
95.179.168.26|/Noir Core:2.2.0/|90049||||||
95.216.224.210|/Noir Core:2.2.0/|90049||||||
95.216.224.94|/Noir Core:2.2.0/|90049||||||
95.216.3.222|/Noir Core:2.2.0/|90049||||||
95.216.73.42|/Noir Core:2.2.0/|90049||||||
95.216.97.180|/Noir Core:2.2.0/|90049||||||
95.217.133.231|/Noir Core:2.2.0/|90049||||||
95.217.58.240|/Noir Core:2.2.0/|90049||||||
95.217.67.186|/Noir Core:2.2.0/|90049||||||
95.217.79.135|/Noir Core:2.2.0/|90049||||||
95.217.95.251|/Noir Core:2.2.0/|90049||||||
