# https://chainz.cryptoid.info/ and whois results
# NewYorkCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.237.11.204|/NewYorkCoin:1.3.1.20/|70012||||||
116.202.47.198|/NewYorkCoin:1.3.1.20/|70012||||||
120.229.77.243|/NewYorkCoin:1.3.1.20/|70012||||||
135.181.116.234|/NewYorkCoin:1.14.3/|70012||||||
135.181.32.44|/NewYorkCoin:1.3.1.20/|70012||||||
136.144.141.84|/NewYorkCoin:1.3.1.20/|70012||||||
136.56.158.86|/NewYorkCoin:1.3.1.17/|70005|16591|136.56.144.0/20|US|arin|2015-10-06|GOOGLE-FIBER, US
142.132.205.123|/NewYorkCoin:1.3.1.20/|70012||||||
149.56.155.28|/NewYorkCoin:1.3.1.20/|70012|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
157.161.128.51|/NewYorkCoin:1.3.1.20/|70012||||||
157.90.223.151|/NewYorkCoin:1.3.1.20/|70012||||||
162.55.92.62|/NewYorkCoin:1.3.1.20/|70012|24940|162.55.0.0/16|DE|ripencc|1992-08-03|HETZNER-AS, DE
164.92.248.247|/NewYorkCoin:1.14.3/|70012||||||
167.86.85.58|/NewYorkCoin:1.3.1.20/|70012||||||
173.16.115.75|/NewYorkCoin:1.3.1.20/|70012||||||
178.118.27.206|/NewYorkCoin:1.3.1.20/|70012||||||
180.28.58.148|/NewYorkCoin:1.3.1.20/|70012||||||
187.109.131.135|/NewYorkCoin:1.3.1.20/|70012|28668|187.109.128.0/20|BR|lacnic|2009-12-18|Silva & Silveira Provedor de Internet Ltda, BR
193.70.35.157|/NewYorkCoin:1.3.1.20/|70012|16276|193.70.0.0/17|FR|ripencc|1993-09-01|OVH, FR
198.54.130.85|/NewYorkCoin:1.14.3/|70012||||||
35.166.46.185|/NewYorkCoin:1.3.1.20/|70012||||||
35.88.129.2|/NewYorkCoin:1.3.1.20/|70012||||||
37.19.221.159|/NewYorkCoin:1.14.3/|70012||||||
45.187.86.225|/NewYorkCoin:1.14.3/|70012|269589|45.187.86.0/23|BR|lacnic|2019-11-25|MECONECTE COM, BR
46.151.159.53|/NewYorkCoin:1.3.1.17/|70005|50473|46.151.152.0/21|RU|ripencc|2010-12-06|ECO-AS, RU
46.23.35.70|/NewYorkCoin:1.3.1.20/|70012|24651|46.23.32.0/20|LV|ripencc|2010-12-02|LVBALTICOM-AS, LV
47.147.91.127|/NewYorkCoin:1.14.3/|70012|5650|47.144.0.0/13|US|arin|2015-08-28|FRONTIER-FRTR, US
5.90.143.202|/NewYorkCoin:1.3.1.20/|70012||||||
50.220.121.211|/NewYorkCoin:1.3.1.20/|70012||||||
85.15.179.171|/NewYorkCoin:1.3.1.20/|70012|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
85.164.168.78|/NewYorkCoin:1.3.1.20/|70012||||||
85.19.25.38|/NewYorkCoin:1.3.1.20/|70012||||||
91.206.16.214|/NewYorkCoin:1.3.1.20/|70012|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
