# https://chainz.cryptoid.info/ and whois results
# Phore
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
116.203.82.110|/Phore Core:1.7.1/|70009||||||
135.181.183.38|/Phore Core:1.8.0/|70009||||||
135.181.7.113|/Phore Core:1.7.1/|70009||||||
135.181.7.118|/Phore Core:1.7.1/|70009||||||
135.181.98.85|/Phore Core:1.8.0/|70009||||||
136.244.92.254|/Phore Core:1.8.0/|70009||||||
139.59.236.221|/Phore Core:1.8.0/|70009||||||
144.130.97.149|/Phore Core:1.8.0/|70009||||||
144.91.106.129|/Phore Core:1.8.0/|70009||||||
144.91.106.92|/Phore Core:1.8.0/|70009||||||
144.91.116.146|/Phore Core:1.7.0/|70008||||||
149.56.148.202|/Phore Core:1.7.0/|70008||||||
152.228.135.232|/Phore Core:1.8.0/|70009||||||
152.89.204.157|/Phore Core:1.7.0/|70008||||||
155.4.6.84|/Phore Core:1.8.0/|70009||||||
157.143.24.69|/Phore Core:1.7.1/|70009||||||
157.90.106.242|/Phore Core:1.8.0/|70009||||||
159.223.67.159|/Phore Core:1.8.0/|70009||||||
161.97.103.182|/Phore Core:1.7.0/|70008||||||
161.97.171.124|/Phore Core:1.7.1/|70009||||||
161.97.88.199|/Phore Core:1.8.0/|70009||||||
161.97.97.30|/Phore Core:1.8.0/|70009||||||
167.179.68.142|/Phore Core:1.8.0/|70009||||||
167.86.124.248|/Phore Core:1.8.0/|70009||||||
167.86.88.138|/Phore Core:1.8.0/|70009||||||
173.249.21.155|/Phore Core:1.7.0/|70008||||||
173.249.21.162|/Phore Core:1.8.0/|70009||||||
173.249.49.54|/Phore Core:1.8.0/|70009||||||
173.249.53.200|/Phore Core:1.8.0/|70009||||||
173.249.6.78|/Phore Core:1.8.0/|70009||||||
176.31.100.106|/Phore Core:1.7.1/|70009||||||
178.18.254.100|/Phore Core:1.7.1/|70009||||||
178.26.117.126|/Phore Core:1.8.0/|70009||||||
180.75.65.175|/Phore Core:1.8.0/|70009||||||
185.117.74.45|/Phore Core:1.8.0/|70009||||||
185.137.181.10|/Phore Core:1.8.0/|70009||||||
185.203.116.86|/Phore Core:1.7.0/|70008||||||
185.205.210.163|/Phore Core:1.7.0/|70008||||||
185.206.144.207|/Phore Core:1.7.0/|70008||||||
185.83.110.42|/Phore Core:1.8.0/|70009||||||
185.83.110.43|/Phore Core:1.8.0/|70009||||||
185.83.110.44|/Phore Core:1.8.0/|70009||||||
188.2.142.215|/Phore Core:1.7.1/|70009||||||
192.227.194.126|/Phore Core:1.7.0/|70008|36352|192.227.194.0/24|US|arin|2013-01-29|AS-COLOCROSSING, US
192.248.159.3|/Phore Core:1.8.0/|70009||||||
