# https://chainz.cryptoid.info/ and whois results
# PandaCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
1.4.237.221|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|23969|1.4.224.0/20|TH|apnic|2011-04-08|TOT-NET TOT Public Company Limited, TH
103.125.43.39|???|0|63859|103.125.43.0/24|ID|apnic|2018-11-12|MYREPUBLIC-AS-ID PT. Eka Mas Republik, ID
104.200.16.230|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|63949|104.200.16.0/21|US|arin|2014-09-26|LINODE-AP Linode, LLC, US
104.244.72.115|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|53667|104.244.72.0/24|US|arin|2014-11-10|PONYNET, US
110.170.117.110|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|7470|110.170.96.0/19|TH|apnic|2009-04-23|TRUEINTERNET-AS-AP TRUE INTERNET Co.,Ltd., TH
113.234.217.71|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|4837|113.224.0.0/12|CN|apnic|2008-12-08|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.87.200.1|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|17552|115.87.192.0/18|TH|apnic|2008-07-28|TRUEONLINE-AS-AP True Online, TH
116.203.114.73|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
116.203.89.106|/Satoshi:0.16.3/Pandacoin:4.9.2/|70015|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE
125.26.86.219|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|23969|125.26.80.0/20|TH|apnic|2006-10-26|TOT-NET TOT Public Company Limited, TH
139.177.204.161|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|63949|139.177.200.0/21|US|arin|2021-03-24|LINODE-AP Linode, LLC, US
144.217.103.74|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|16276|144.217.0.0/16|CA|arin|2016-09-07|OVH, FR
157.90.155.61|/Satoshi:0.16.3/Pandacoin:4.9.2/|70015|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE
167.86.118.253|/Satoshi:0.16.3/Pandacoin:4.9.0/|70015|51167|167.86.118.0/23|DE|ripencc|1993-05-14|CONTABO, DE
171.101.165.28|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|17552|171.101.128.0/18|TH|apnic|2011-03-07|TRUEONLINE-AS-AP True Online, TH
171.25.193.77|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|198093|171.25.193.0/24|SE|ripencc|2012-01-13|DFRI-AS Foreningen for digitala fri- och rattigheter, SE
172.104.178.96|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|63949|172.104.160.0/19|US|arin|2015-06-19|LINODE-AP Linode, LLC, US
176.58.123.119|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|63949|176.58.96.0/19|US|ripencc|2011-06-06|LINODE-AP Linode, LLC, US
178.17.170.135|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|43289|178.17.160.0/20|MD|ripencc|2010-03-23|TRABIA, MD
185.100.87.174|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|200651|185.100.87.0/24|SC|ripencc|2015-05-15|FLOKINET, SC
185.107.70.56|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|43350|185.107.68.0/22|NL|ripencc|2015-07-03|NFORCE, NL
185.220.100.240|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
185.220.100.242|/Satoshi:0.20.2/Pandacoin:4.10.5/|70015|205100|185.220.100.0/24|DE|ripencc|2017-09-12|F3NETZE, DE
