# https://chainz.cryptoid.info/ and whois results
# Peony
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.220.78.110|/Peony Core:4.0.1.1/|70101|328826|102.220.76.0/22|ZA|afrinic|2021-03-31|Jumbo-Technologies, ZA
104.238.158.53|/Peony Core:4.0.1.1/|70101|20473|104.238.158.0/23|US|arin|2014-11-13|AS-CHOOPA, US
105.101.93.208|/Peony Core:4.0.1.1/|70101|36947|105.101.0.0/16|DZ|afrinic|2013-11-18|ALGTEL-AS, DZ
108.61.197.56|/Peony:4.0.1/|70101||||||
109.133.55.205|/Peony Core:4.0.1.1/|70101||||||
110.175.215.142|/Peony Core:4.0.1.1/|70101||||||
116.202.163.60|/Peony:4.0.1/|70101||||||
125.139.46.4|/Peony Core:4.0.1.1/|70101||||||
135.181.1.115|/Peony Core:4.0.1.1/|70101||||||
135.181.1.99|/Peony Core:4.0.1.1/|70101||||||
135.181.141.225|/Peony Core:4.0.1.1/|70101||||||
135.181.217.57|/Peony Core:4.0.1.1/|70101||||||
135.181.217.58|/Peony Core:4.0.1.1/|70101||||||
135.181.56.186|/Peony Core:4.0.1.1/|70101||||||
135.181.60.164|/Peony Core:4.0.1.1/|70101||||||
135.181.79.27|/Peony Core:4.0.1.1/|70101||||||
136.244.114.219|/Peony Core:4.0.1.1/|70101||||||
136.49.28.158|/Peony Core:4.0.1.1/|70101||||||
137.220.57.61|/Peony:4.0.1/|70101||||||
137.59.12.58|/Peony Core:4.0.1.1/|70101||||||
139.99.149.128|/Peony Core:4.0.1.1/|70101||||||
141.101.14.82|/Peony Core:4.0.1.1/|70101||||||
144.126.130.229|/Peony:4.0.1/|70101||||||
144.130.115.197|/Peony Core:4.0.1.1/|70101||||||
144.91.89.174|/Peony:4.0.1/|70101||||||
144.91.91.180|/Peony Core:4.0.1.1/|70101||||||
145.239.1.20|/Peony:4.0.1/|70101||||||
146.70.55.230|/Peony Core:4.0.1.1/|70101||||||
149.28.226.98|/Peony:4.0.1/|70101||||||
154.12.227.101|/Peony Core:4.0.1.1/|70101||||||
157.158.183.84|/Peony Core:4.0.1.1/|70101||||||
161.97.156.199|/Peony:4.0.1/|70101||||||
164.68.107.156|/Peony Core:4.0.1.1/|70101||||||
165.232.181.128|/Peony Core:4.0.1.1/|70101||||||
167.86.98.76|/Peony Core:4.0.1.1/|70101||||||
173.212.240.197|/Peony Core:4.0.1.1/|70101||||||
176.233.88.245|/Peony Core:4.0.1.1/|70101||||||
176.57.189.208|/Peony:4.0.1/|70101||||||
178.165.171.135|/Peony Core:4.0.1.1/|70101||||||
185.103.132.7|/Peony:4.0.1/|70101||||||
185.146.232.79|/Peony:4.0.1/|70101||||||
185.152.197.245|/Peony Core:4.0.1.1/|70101||||||
185.179.132.201|/Peony Core:4.0.1.1/|70101||||||
185.185.82.133|/Peony:4.0.1/|70101||||||
185.210.161.149|/Peony Core:4.0.1.1/|70101||||||
185.235.128.12|/Peony:4.0.1/|70101||||||
185.37.56.100|/Peony Core:4.0.1.1/|70101||||||
185.62.81.130|/Peony Core:4.0.1.1/|70101||||||
188.134.90.27|/Peony Core:4.0.1.1/|70101||||||
188.32.188.184|/Peony Core:4.0.1.1/|70101||||||
194.158.193.204|/Peony:4.0.1/|70101||||||
194.163.142.184|/Peony:4.0.1/|70101||||||
194.163.156.143|/Peony Core:4.0.1.1/|70101||||||
195.201.128.81|/Peony Core:4.0.1.1/|70101||||||
207.180.235.194|/Peony Core:4.0.1.1/|70101||||||
207.180.249.230|/Peony:4.0.1/|70101||||||
208.126.223.206|/Peony Core:4.0.1.1/|70101||||||
211.248.32.114|/Peony Core:4.0.1.1/|70101||||||
