# https://chainz.cryptoid.info/ and whois results
# Quark
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.35.45.97|/Satoshi:0.10.7.7/|70004|45090|101.35.0.0/18|CN|apnic|2010-12-14|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
101.43.119.248|/Satoshi:0.10.7.7/|70004|45090|101.43.64.0/18|CN|apnic|2010-12-14|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
101.43.145.179|/Satoshi:0.10.7.7/|70004|45090|101.43.128.0/18|CN|apnic|2010-12-14|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
113.125.60.131|/Satoshi:0.10.7.7/|70004|58519|113.125.0.0/16|CN|apnic|2008-11-03|CHINATELECOM-CTCLOUD Cloud Computing Corporation, CN
114.132.222.66|/Satoshi:0.10.7.7/|70004|45090|114.132.192.0/18|CN|apnic|2008-05-29|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.221.105.88|/Satoshi:0.10.7.7/|70004|45090|124.221.64.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.221.169.239|/Satoshi:0.10.7.7/|70004|45090|124.221.128.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.222.214.119|/Satoshi:0.10.7.7/|70004|45090|124.222.192.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.222.214.66|/Satoshi:0.10.7.7/|70004|45090|124.222.192.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.222.79.99|/Satoshi:0.10.7.7/|70004|45090|124.222.64.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.223.198.59|/Satoshi:0.10.7.7/|70004|45090|124.223.192.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.223.43.84|/Satoshi:0.10.7.7/|70004|45090|124.223.0.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
124.223.44.198|/Satoshi:0.10.7.7/|70004|45090|124.223.0.0/18|CN|apnic|2006-04-25|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
150.158.41.241|/Satoshi:0.10.7.7/|70004|45090|150.158.0.0/18|CN|apnic|1991-05-20|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
175.178.129.225|/Satoshi:0.10.7.7/|70004|45090|175.178.128.0/18|CN|apnic|2010-01-22|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
203.206.36.227|/Satoshi:0.10.7.4/|70004|4739|203.206.36.0/23|AU|apnic|2001-08-16|INTERNODE-AS Internode Pty Ltd, AU
23.161.112.146|/Satoshi:0.10.7.7/|70004|398493|23.161.112.0/24|US|arin|2020-07-14|SYSTEMINPLACE, US
23.161.112.170|/Satoshi:0.10.7.7/|70004|398493|23.161.112.0/24|US|arin|2020-07-14|SYSTEMINPLACE, US
42.192.128.128|/Satoshi:0.10.7.7/|70004|45090|42.192.128.0/18|CN|apnic|2011-03-04|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
42.192.197.22|/Satoshi:0.10.7.7/|70004|45090|42.192.192.0/18|CN|apnic|2011-03-04|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
42.192.94.65|/Satoshi:0.10.7.7/|70004|45090|42.192.64.0/18|CN|apnic|2011-03-04|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
47.92.129.82|/Satoshi:0.10.7.7/|70004|37963|47.92.0.0/15|CN|apnic|1989-01-06|ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN
66.181.33.138|/Satoshi:0.10.7.7/|70004|64236|66.181.32.0/19|US|arin|2019-01-11|UNREAL-SERVERS, US
66.181.33.149|/Satoshi:0.10.7.7/|70004|64236|66.181.32.0/19|US|arin|2019-01-11|UNREAL-SERVERS, US
67.219.137.211|/Satoshi:0.10.7.7/|70004|398395|67.219.137.0/24|CA|arin|2020-03-30|DOT-TECH-LLC, US
81.68.186.248|/Satoshi:0.10.7.7/|70004|45090|81.68.128.0/18|CN|apnic|2002-01-11|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
82.157.45.253|/Satoshi:0.10.7.7/|70004|45090|82.157.0.0/18|CN|apnic|2003-11-19|TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited, CN
88.103.100.67|/Satoshi:0.10.7.6/|70004|5610|88.102.0.0/15|CZ|ripencc|2005-10-04|O2-CZECH-REPUBLIC, CZ
94.130.103.70|/Satoshi:0.10.7.7/|70004|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE
95.217.78.79|/Satoshi:0.10.7.7/|70004|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
