# https://chainz.cryptoid.info/ and whois results
# Riecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
138.68.172.174|/Satoshi:0.16.3.1/|10070001||||||
147.135.86.84|/Riemann:0.21.0/|10070001|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
158.69.25.32|/Riemann:0.21.0/|10070001||||||
18.233.16.46|/Riemann:0.21.0/|10070001|14618|18.232.0.0/14|US|arin|2019-10-07|AMAZON-AES, US
185.140.244.246|/Riemann:0.21.0/|10070001|48602|185.140.244.0/22|CZ|ripencc|2016-02-29|CONNECTPLUS, CZ
185.220.101.181|/Riemann:22.3.0/|70016|208294|185.220.101.0/24|DE|ripencc|2017-09-12|RELAYON, US
192.210.173.123|/Riemann:0.21.0/|10070001|36352|192.210.173.0/24|US|arin|2012-12-11|AS-COLOCROSSING, US
195.15.219.10|/Riemann:22.3.0/|70016||||||
195.201.104.49|/Riemann:0.21.0/|10070001||||||
198.199.70.169|/Riemann:0.21.0/|10070001|14061|198.199.64.0/20|US|arin|2013-03-27|DIGITALOCEAN-ASN, US
212.166.56.186|/Riemann:22.3.0/|70016||||||
212.239.240.184|/Riemann:22.3.0/|70016||||||
216.15.21.83|/Riemann:22.3.0/|70016||||||
24.229.236.161|/Riemann:22.3.0/|70016|3737|24.229.0.0/16|US|arin|1997-05-02|AS-PTD, US
31.148.29.26|/Riemann:22.3.0/|70016||||||
31.164.3.23|/Riemann:22.3.0/|70016||||||
34.220.6.13|/Riemann:0.21.0/|10070001|16509|34.208.0.0/12|US|arin|2016-09-12|AMAZON-02, US
47.212.210.206|/Riemann:22.3.0/|70016||||||
5.9.193.21|/Riemann:0.21.0/|10070001||||||
51.178.184.41|/Riemann:0.21.0/|10070001||||||
51.81.102.216|/Riemann:0.21.0/|10070001||||||
51.81.102.219|/Riemann:0.21.0/|10070001||||||
51.81.102.220|/Riemann:0.21.0/|10070001||||||
65.21.89.182|/Riemann:0.21.0/|10070001||||||
68.37.210.156|/Riemann:0.21.0/|10070001||||||
70.174.95.10|/Riemann:0.21.0/|10070001||||||
79.146.185.244|/Riemann:0.21.0/|10070001||||||
85.13.222.27|/Riemann:0.20.0/|10070001||||||
85.19.25.38|/Riemann:22.3.0/|70016||||||
88.91.78.65|/Riemann:22.3.0/|70016||||||
90.180.59.182|/Riemann:0.21.0/|10070001||||||
91.92.144.12|???|0||||||
