# https://chainz.cryptoid.info/ and whois results
# Sparks
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
13.52.179.192|???|0||||||
141.98.118.49|/Sparks Core:0.13.3.1/|70213|205399|141.98.118.0/24|US|ripencc|2019-01-11|HOSTIGGER, US
149.56.141.230|/Sparks Core:0.12.4.3/|70213||||||
161.97.136.252|/Sparks Core:0.13.3.1/|70213||||||
161.97.137.1|/Sparks Core:0.13.3.1/|70213||||||
161.97.137.62|/Sparks Core:0.13.3.1/|70213||||||
161.97.137.64|/Sparks Core:0.13.3.1/|70213||||||
161.97.141.72|/Sparks Core:0.13.3.1/|70213||||||
164.132.74.143|/Sparks Core:0.13.3.1/|70213|16276|164.132.0.0/16|FR|ripencc|1993-04-23|OVH, FR
178.254.12.231|/Sparks Core:0.12.4.2/|70213|42730|178.254.0.0/19|DE|ripencc|2010-06-18|EVANZOAS, DE
178.32.99.146|/Sparks Core:0.13.3.1/|70213|16276|178.32.0.0/15|FR|ripencc|2010-01-19|OVH, FR
188.165.37.142|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.37.86|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.38.21|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.41.158|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.46.128|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.47.193|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.54.60|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
188.165.54.90|/Sparks Core:0.13.3.1/|70213|16276|188.165.0.0/16|FR|ripencc|2009-06-05|OVH, FR
198.105.221.192|/Sparks Core:0.13.3.1/|70213|36351|198.105.221.0/24|US|arin|2012-07-10|SOFTLAYER, US
207.180.211.113|/Sparks Core:0.12.4.3/|70213||||||
212.237.58.31|/Sparks Core:0.12.4.3/|70213||||||
213.32.46.208|/Sparks Core:0.13.3.1/|70213|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
213.32.46.70|/Sparks Core:0.13.3.1/|70213|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
213.32.46.71|/Sparks Core:0.13.3.1/|70213|16276|213.32.0.0/17|FR|ripencc|1999-06-28|OVH, FR
3.124.206.60|/Sparks Core:0.12.4.3/|70213||||||
3.126.240.95|/Sparks Core:0.12.4.3/|70213||||||
3.67.88.157|/Sparks Core:0.12.4.3/|70213||||||
45.76.112.100|/Sparks Core:0.12.4.2/|70213||||||
5.135.244.151|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.135.244.162|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.135.244.39|/Sparks Core:0.13.3.1/|70213|16276|5.135.0.0/16|FR|ripencc|2012-07-06|OVH, FR
5.39.3.117|/Sparks Core:0.13.3.1/|70213||||||
5.39.3.119|/Sparks Core:0.13.3.1/|70213||||||
5.39.3.121|/Sparks Core:0.13.3.1/|70213||||||
51.75.102.140|/Sparks Core:0.13.3.1/|70213||||||
51.75.102.144|/Sparks Core:0.13.3.1/|70213||||||
51.75.102.148|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.180|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.183|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.184|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.186|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.189|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.191|/Sparks Core:0.13.3.1/|70213||||||
51.83.49.194|/Sparks Core:0.13.3.1/|70213||||||
51.91.134.35|/Sparks Core:0.13.3.1/|70213|16276|51.91.0.0/16|FR|ripencc|1993-09-01|OVH, FR
54.37.206.226|/Sparks Core:0.13.3.1/|70213||||||
54.38.220.100|/Sparks Core:0.13.3.1/|70213||||||
54.38.220.101|/Sparks Core:0.13.3.1/|70213||||||
54.38.220.95|/Sparks Core:0.13.3.1/|70213||||||
54.38.220.96|/Sparks Core:0.13.3.1/|70213||||||
54.38.220.98|/Sparks Core:0.13.3.1/|70213||||||
61.218.132.193|/Sparks Core:0.13.3.1/|70213||||||
62.171.179.213|/Sparks Core:0.13.3.1/|70213||||||
62.171.185.166|/Sparks Core:0.13.3.1/|70213||||||
80.211.38.203|/Sparks Core:0.12.4.3/|70213||||||
80.211.6.137|/Sparks Core:0.12.4.3/|70213||||||
80.241.217.60|/Sparks Core:0.12.4.3/|70213||||||
81.2.242.147|/Sparks Core:0.12.4.3/|70213||||||
84.138.152.190|/Sparks Core:0.12.4.3/|70213|3320|84.128.0.0/10|DE|ripencc|2004-03-10|DTAG Internet service provider operations, DE
87.98.188.167|/Sparks Core:0.13.3.1/|70213||||||
91.17.216.16|/Sparks Core:0.12.4.3/|70213||||||
92.242.3.82|/Sparks Core:0.13.3.1/|70213||||||
95.179.154.23|/Sparks Core:0.13.3.1/|70213||||||
