# https://chainz.cryptoid.info/ and whois results
# Stakecoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
178.84.196.110|/Satoshi:1.1.0/|60017||||||
178.84.26.71|/Satoshi:1.1.0/|60017||||||
195.201.176.91|/Satoshi:1.0.0/|60015||||||
202.179.25.163|/Satoshi:1.1.0/|60017|9934|202.179.25.0/24|MN|apnic|2010-08-17|MICOM-MN-AS Mongolia Telecom, MN
213.127.79.168|/Satoshi:1.1.0/|60017||||||
213.184.235.84|/Satoshi:1.1.0/|60017|50334|213.184.235.0/24|BY|ripencc|2003-03-17|GARANT, BY
77.172.93.61|/Satoshi:1.1.0/|60017||||||
83.242.172.155|/Satoshi:1.1.0/|60017|8359|83.242.128.0/17|RU|ripencc|2004-03-26|MTS, RU
84.86.45.207|/Satoshi:1.1.0/|60017|1136|84.80.0.0/13|NL|ripencc|2004-03-17|KPN KPN National, NL
85.145.5.131|/Satoshi:1.1.0/|60017||||||
86.85.25.97|/Satoshi:1.1.0/|60017||||||
91.239.42.72|/Satoshi:1.1.0/|60017||||||
91.239.42.94|/Satoshi:1.1.0/|60017||||||
95.220.183.211|/Satoshi:1.1.0/|60017||||||
95.220.185.75|/Satoshi:1.1.0/|60017||||||
