# https://chainz.cryptoid.info/ and whois results
# Trollcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
104.223.84.197|/Trolloshi:2.1.0/|60030|8100|104.223.84.0/24|US|arin|2014-10-02|ASN-QUADRANET-GLOBAL, US
104.238.188.145|/Trolloshi:2.1.0/|60030|20473|104.238.188.0/22|US|arin|2014-11-13|AS-CHOOPA, US
107.191.39.242|/Trolloshi:2.1.0/|60030|20473|107.191.32.0/21|US|arin|2014-04-25|AS-CHOOPA, US
108.218.157.3|/Trolloshi:2.1.0/|60030|7018|108.192.0.0/10|US|arin|2011-01-12|ATT-INTERNET4, US
155.138.151.242|/Trolloshi:2.1.0/|60030|20473|155.138.128.0/19|US|arin|2018-12-05|AS-CHOOPA, US
172.58.43.103|/Trolloshi:2.1.0/|60030|21928|172.58.40.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.43.166|/Trolloshi:2.1.0/|60030|21928|172.58.40.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.44.26|/Trolloshi:2.1.0/|60030|21928|172.58.40.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
172.58.46.244|/Trolloshi:2.1.0/|60030|21928|172.58.40.0/21|US|arin|2012-09-18|T-MOBILE-AS21928, US
178.18.252.200|/Trolloshi:2.1.0/|60030|51167|178.18.240.0/20|DE|ripencc|2010-04-27|CONTABO, DE
178.18.254.12|/Trolloshi:2.1.0/|60030|51167|178.18.240.0/20|DE|ripencc|2010-04-27|CONTABO, DE
178.66.157.66|/Trolloshi:2.1.0/|60030|12389|178.66.0.0/16|RU|ripencc|2010-01-05|ROSTELECOM-AS, RU
194.163.134.60|/Trolloshi:2.1.0/|60030|51167|194.163.128.0/18|DE|ripencc|1995-05-16|CONTABO, DE
208.103.163.7|/Trolloshi:2.1.0/|60030|396231|208.103.163.0/24|US|arin|2017-05-09|ABILITY-BUSINESS, US
24.89.42.245|/Trolloshi:2.1.0/|60030|53508|24.89.40.0/21|US|arin|2008-01-22|CABLELYNX, US
46.101.235.143|/Trolloshi:2.1.0/|60030|14061|46.101.128.0/17|US|ripencc|2010-06-24|DIGITALOCEAN-ASN, US
66.70.182.1|/Trolloshi:2.1.0/|60030|16276|66.70.128.0/17|CA|arin|2017-02-13|OVH, FR
85.15.179.171|/Trolloshi:2.1.0/|60030|12389|85.15.128.0/18|RU|ripencc|2005-04-26|ROSTELECOM-AS, RU
88.99.68.228|/Trolloshi:2.1.0/|60030|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
91.206.16.214|/Trolloshi:2.1.0/|60030|13259|91.206.16.0/23|RU|ripencc|2008-06-09|DELTA-TELESYSTEMS-AS, RU
93.215.25.241|/Trolloshi:2.1.0/|60030|3320|93.192.0.0/10|DE|ripencc|2008-02-12|DTAG Internet service provider operations, DE
93.81.211.235|/Trolloshi:2.1.0/|60030|3216|93.81.208.0/20|RU|ripencc|2008-02-05|SOVAM-AS, RU
95.168.164.215|/Trolloshi:2.1.0/|60030|60781|95.168.160.0/20|NL|ripencc|2009-01-06|LEASEWEB-NL-AMS-01 Netherlands, NL
98.215.160.113|/Trolloshi:2.1.0/|60030|7922|98.192.0.0/10|US|arin|2007-04-20|COMCAST-7922, US
