# https://chainz.cryptoid.info/ and whois results
# Trezarcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
101.109.160.33|/Trezarcoin:2.1.3/|70001|23969|101.109.160.0/22|TH|apnic|2010-12-13|TOT-NET TOT Public Company Limited, TH
102.65.220.103|/Trezarcoin:2.1.3/|70001|328453|102.65.0.0/16||||Web-Africa-Networks-AS, ZA
107.131.146.208|/Trezarcoin:2.1.3/|70001|7018|107.128.0.0/12|US|arin|2013-10-23|ATT-INTERNET4, US
107.15.220.153|/Trezarcoin:2.1.3/|70001|11426|107.15.128.0/17|US|arin|2010-09-23|TWC-11426-CAROLINAS, US
109.221.157.27|/Trezarcoin:2.1.3/|70001|3215|109.221.128.0/17|FR|ripencc|2009-10-07|France Telecom - Orange, FR
134.249.171.83|/Trezarcoin:2.1.2/|70001|15895|134.249.0.0/16|UA|ripencc|2011-11-07|KSNET-AS, UA
138.197.189.202|/Trezarcoin:2.1.3/|70001|14061|138.197.176.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US
138.201.196.245|/Trezarcoin:2.1.3/|70001|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
139.47.75.77|/Trezarcoin:2.1.3/|70001|15704|139.47.0.0/17|ES|ripencc|1990-06-19|AS15704, ES
139.59.209.150|/Trezarcoin:2.1.3/|70001|14061|139.59.208.0/21|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US
142.165.82.189|/Trezarcoin:2.1.3/|70001|803|142.165.0.0/16|CA|arin|1995-03-23|SASKTEL, CA
145.236.152.207|/Trezarcoin:2.1.3/|70001|5483|145.236.0.0/16|HU|ripencc|1993-07-13|MAGYAR-TELEKOM-MAIN-AS Magyar Telekom Nyrt., HU
147.135.97.55|/Trezarcoin:2.1.3/|70001|16276|147.135.0.0/17|US|arin|2017-03-22|OVH, FR
149.56.155.28|/Trezarcoin:2.1.3/|70001|16276|149.56.0.0/16|CA|arin|2016-02-09|OVH, FR
161.97.172.98|/Trezarcoin:2.1.3/|70001|51167|161.97.160.0/20|DE|ripencc|1992-06-23|CONTABO, DE
167.172.186.111|/Trezarcoin:2.1.3/|70001|14061|167.172.176.0/20|US|ripencc|1993-08-30|DIGITALOCEAN-ASN, US
170.247.112.7|/Trezarcoin:2.1.3/|70001|263903|170.247.112.0/24|BR|lacnic|2017-02-09|INFORBARRA TELECOM, BR
171.25.167.187|/Trezarcoin:2.1.3/|70001|42765|171.25.164.0/22|RU|ripencc|2012-01-04|INFOTECH-LINER-AS-MAIN, RU
172.0.94.218|/Trezarcoin:2.1.3/|70001|7018|172.0.0.0/12|US|arin|2012-08-20|ATT-INTERNET4, US
173.225.105.160|/Trezarcoin:2.1.3/|70001|19318|173.225.96.0/20|US|arin|2016-06-02|IS-AS-1, US
174.55.157.126|/Trezarcoin:2.1.2/|70001|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
174.70.152.158|/Trezarcoin:2.1.3/|70001|22773|174.70.128.0/18|US|arin|2009-02-19|ASN-CXA-ALL-CCI-22773-RDC, US
174.94.2.52|/Trezarcoin:2.1.3/|70001|577|174.94.0.0/16|CA|arin|2009-02-27|BACOM, CA
176.198.225.221|/Trezarcoin:2.1.3/|70001|3209|176.198.0.0/16|DE|ripencc|2011-07-18|VODANET International IP-Backbone of Vodafone, DE
177.10.197.16|/Trezarcoin:2.1.3/|70001|262854|177.10.197.0/24|BR|lacnic|2010-12-14|AFINET SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA, BR
178.115.37.136|/Trezarcoin:2.1.3/|70001|25255|178.115.32.0/19|AT|ripencc|2010-01-12|H3G-AUSTRIA-AS TELE2 AUSTRIA , AT
