# https://chainz.cryptoid.info/ and whois results
# uTipcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
108.95.86.140|/Satoshi:1.0.0/|60013|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
109.10.222.183|/Satoshi:1.0.0/|60013|15557|109.0.0.0/11|FR|ripencc|2009-08-13|LDCOMNET, FR
109.95.103.215|/Satoshi:1.0.0/|60013|49120|109.95.96.0/21|RU|ripencc|2009-12-16|GORSET-AS, RU
122.3.207.217|/Satoshi:1.0.0/|60013|9299|122.3.192.0/19|PH|apnic|2006-09-28|IPG-AS-AP Philippine Long Distance Telephone Company, PH
138.64.82.12|/Satoshi:1.0.0/|60013|4685|138.64.0.0/16|JP|apnic|1990-07-02|ASAHI-NET Asahi Net, JP
142.113.36.140|/Satoshi:1.0.0/|60013|577|142.113.0.0/16|CA|arin|1993-04-05|BACOM, CA
167.99.137.71|/Satoshi:1.0.0/|60013|14061|167.99.128.0/20|US|arin|2017-11-10|DIGITALOCEAN-ASN, US
173.77.97.112|/Satoshi:1.0.0/|60013|701|173.77.0.0/16|US|arin|2008-08-11|UUNET, US
176.121.199.144|/Satoshi:1.0.0/|60013|211101|176.121.198.0/23|UA|ripencc|2012-07-05|MAXLINK, RU
178.137.149.97|/Satoshi:1.0.0/|60013|15895|178.137.0.0/16|UA|ripencc|2010-03-29|KSNET-AS, UA
184.103.212.87|/Satoshi:1.0.0/|60013|209|184.103.0.0/16|US|arin|2010-04-06|CENTURYLINK-US-LEGACY-QWEST, US
184.166.175.75|/Satoshi:1.0.0/|60013|33588|184.166.0.0/15|US|arin|2010-07-28|BRESNAN-33588, US
185.117.74.45|/Satoshi:1.0.0/|60013|60117|185.117.74.0/24|AE|ripencc|2015-09-14|HS, AE
191.96.150.41|/Satoshi:1.0.0/|60013|174|191.96.150.0/24|AE|ripencc|2014-03-13|COGENT-174, US
193.109.145.56|/Satoshi:1.0.0/|60013|21256|193.109.144.0/22|UA|ripencc|2001-09-14|LUXLINK-AS Lutsk, Ukraine, UA
202.229.98.202|/Satoshi:1.0.0/|60013|2514|202.229.0.0/17|JP|apnic|1995-09-04|INFOSPHERE NTT PC Communications, Inc., JP
37.193.85.46|/Satoshi:1.0.0/|60013|31200|37.193.0.0/16|RU|ripencc|2012-03-21|NTK IPv6 customers, RU
45.177.92.49|/Satoshi:1.0.0/|60013|267891|45.177.92.0/22|AR|lacnic|2019-06-10|COOPERATIVA DE SERVICIOS Y OBRAS PUBLICAS LIMITADA DE RIVERA, AR
51.9.145.112|/Satoshi:1.0.0/|60013|6871|51.9.0.0/16|GB|ripencc|1993-09-01|PLUSNET UK Internet Service Provider, GB
63.155.15.240|/Satoshi:1.0.0/|60013|209|63.155.0.0/19|US|arin|2000-07-12|CENTURYLINK-US-LEGACY-QWEST, US
63.155.23.253|/Satoshi:1.0.0/|60013|209|63.155.0.0/19|US|arin|2000-07-12|CENTURYLINK-US-LEGACY-QWEST, US
63.155.68.129|/Satoshi:1.0.0/|60013|209|63.155.0.0/16|US|arin|2000-07-12|CENTURYLINK-US-LEGACY-QWEST, US
63.155.69.107|/Satoshi:1.0.0/|60013|209|63.155.0.0/16|US|arin|2000-07-12|CENTURYLINK-US-LEGACY-QWEST, US
66.55.78.57|/Satoshi:1.0.0/|60013|8100|66.55.78.0/24|US|arin|2009-10-08|ASN-QUADRANET-GLOBAL, US
77.183.241.38|/Satoshi:1.0.0/|60013|6805|77.176.0.0/12|DE|ripencc|2006-11-17|TDDE-ASN1, DE
78.54.229.32|/Satoshi:1.0.0/|60013|6805|78.48.0.0/13|DE|ripencc|2007-02-28|TDDE-ASN1, DE
79.172.69.3|/Satoshi:1.0.0/|60013|30784|79.172.64.0/18|RU|ripencc|2007-10-17|ISKRATELECOM-AS SEVEN-SKY, RU
79.172.73.113|/Satoshi:1.0.0/|60013|30784|79.172.64.0/18|RU|ripencc|2007-10-17|ISKRATELECOM-AS SEVEN-SKY, RU
80.153.155.130|/Satoshi:1.0.0/|60013|3320|80.152.0.0/14|DE|ripencc|2001-08-06|DTAG Internet service provider operations, DE
83.25.17.105|/Satoshi:1.0.0/|60013|5617|83.24.0.0/13|PL|ripencc|2003-12-03|TPNET, PL
84.162.166.39|/Satoshi:1.0.0/|60013|3320|84.128.0.0/10|DE|ripencc|2004-03-10|DTAG Internet service provider operations, DE
86.27.206.157|/Satoshi:1.0.0/|60013|5089|86.24.0.0/13|GB|ripencc|2005-03-29|NTL, GB
89.132.114.224|/Satoshi:1.0.0/|60013|21334|89.132.0.0/15|HU|ripencc|2006-01-17|ASN-VODAFONE-, HU
94.0.158.75|/Satoshi:1.0.0/|60013|5607|94.0.0.0/12|GB|ripencc|2008-05-27|BSKYB-BROADBAND-AS, GB
94.140.9.17|/Satoshi:1.0.0/|60013|136787|94.140.9.0/24|DE|ripencc|2008-11-28|TEFINCOMSA-AS-AP TEFINCOM S.A., PA
98.187.47.173|/Satoshi:1.0.0/|60013|22773|98.160.0.0/11|US|arin|2007-07-20|ASN-CXA-ALL-CCI-22773-RDC, US
