# https://chainz.cryptoid.info/ and whois results
# VeriCoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
109.88.22.154|/Vericonomy:2.0.1.5/|90001||||||
110.148.142.155|/Vericonomy:2.0.0/|90000|1221|110.144.0.0/13|AU|apnic|2009-04-20|ASN-TELSTRA Telstra Corporation Ltd, AU
115.74.190.169|/Vericonomy:2.0.0/|90000||||||
120.20.67.244|/Vericonomy:2.0.0/|90000|133612|120.20.64.0/18|AU|apnic|2008-03-07|VODAFONE-AS-AP Vodafone Australia Pty Ltd, AU
122.106.126.167|/Vericonomy:2.0.0/|90000|4804|122.106.0.0/15|AU|apnic|2006-11-10|MPX-AS Microplex PTY LTD, AU
13.209.60.161|/Vericonomy:2.0.0/|90000|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
13.93.3.143|/Veritoshi:1.7.2/|70012||||||
147.235.60.158|/Vericonomy:2.0.0/|90000|208905|147.235.60.0/24|IL|ripencc|1993-09-01|TAMARES-AS, IL
156.0.212.9|???|0||||||
160.3.110.8|/Vericonomy:2.0.0/|90000|11492|160.3.110.0/24|US|arin|2014-11-04|CABLEONE, US
173.16.223.49|/Vericonomy:2.0.0/|90000|30036|173.16.220.0/22|US|arin|2008-05-19|MEDIACOM-ENTERPRISE-BUSINESS, US
174.68.170.27|/Veritoshi:1.7.2/|70012||||||
175.39.170.98|/Vericonomy:2.0.0/|90000|4804|175.39.0.0/16|AU|apnic|2009-12-08|MPX-AS Microplex PTY LTD, AU
178.164.126.190|/Vericonomy:2.0.1.1/|90001||||||
185.17.14.93|/Vericonomy:2.0.0/|90000|51184|185.17.12.0/22|AT|ripencc|2013-01-25|FONIRA, AT
188.26.135.6|/Vericonomy:2.0.0.4/|90000||||||
190.96.1.19|/Veritoshi:1.7.2/|70012||||||
192.119.13.171|/Veritoshi:1.7.2/|70012||||||
194.110.112.133|/Vericonomy:2.0.0/|90000|9009|194.110.112.0/24|RO|ripencc|2018-05-24|M247, GB
2.56.190.98|/Vericonomy:2.0.0/|90000|62240|2.56.190.0/24|GB|ripencc|2019-03-15|CLOUVIDER Clouvider - Global ASN, GB
202.180.87.142|/Vericonomy:2.0.1.5/|90001||||||
206.189.209.81|/Veritoshi:1.7.2/|70012||||||
207.213.184.250|/Vericonomy:2.0.0/|90000|7018|207.212.0.0/14|US|arin|1996-09-25|ATT-INTERNET4, US
213.127.70.154|/Vericonomy:2.0.0/|90000|33915|213.127.0.0/17|NL|ripencc|1999-09-16|TNF-AS, NL
213.130.92.197|/Vericonomy:2.0.1.5/|90001||||||
213.136.85.194|/Vericonomy:2.0.0/|90000|51167|213.136.84.0/23|DE|ripencc|2000-02-28|CONTABO, DE
213.91.248.81|/Vericonomy:2.0.0/|90000||||||
216.177.177.73|/Veritoshi:1.7.2/|70012||||||
217.165.129.41|/Vericonomy:2.0.0/|90000||||||
24.123.91.122|/Veritoshi:1.7.1/|70012||||||
24.186.209.199|/Vericonomy:2.0.0/|90000||||||
24.186.211.215|/Vericonomy:2.0.0/|90000||||||
24.45.45.51|/Vericonomy:2.0.0/|90000||||||
24.88.60.207|/Veritoshi:1.7.1/|70012||||||
37.201.119.63|/Vericonomy:2.0.0/|90000||||||
41.138.89.219|???|0||||||
45.134.212.77|/Vericonomy:2.0.0/|90000||||||
46.135.100.147|/Veritoshi:1.7.1/|70012||||||
5.104.182.115|/Vericonomy:2.0.1.5/|90001||||||
50.40.160.183|/Vericonomy:2.0.0/|90000||||||
50.90.21.247|/Vericonomy:2.0.0/|90000||||||
51.7.167.104|/Vericonomy:2.0.0/|90000||||||
64.231.116.238|/Vericonomy:2.0.0/|90000||||||
66.189.104.179|/Vericonomy:2.0.0/|90000||||||
70.27.156.249|/Vericonomy:2.0.0/|90000||||||
73.12.106.25|/Vericonomy:2.0.0/|90000||||||
73.41.255.117|/Vericonomy:2.0.0/|90000||||||
74.194.156.4|/Vericonomy:2.0.0/|90000||||||
78.12.32.224|/Vericonomy:2.0.1.5/|90001||||||
78.154.13.145|/Veritoshi:1.7.2/|70012||||||
83.32.189.164|/Vericonomy:2.0.0/|90000||||||
84.113.159.205|/Vericonomy:2.0.0/|90000||||||
84.209.174.161|/Vericonomy:2.0.0/|90000||||||
85.164.55.219|/Vericonomy:2.0.0/|90000||||||
86.85.157.170|/Veritoshi:1.7.2/|70012||||||
87.156.126.177|/Vericonomy:2.0.0/|90000||||||
89.114.85.113|/Vericonomy:2.0.0/|90000||||||
91.121.221.200|/Vericonomy:2.0.0/|90000||||||
91.184.173.238|/Vericonomy:2.0.0/|90000||||||
91.207.174.236|/Vericonomy:2.0.0/|90000||||||
91.64.247.133|/Vericonomy:2.0.0/|90000||||||
92.220.86.6|/Vericonomy:2.0.0.1/|90000||||||
94.207.96.201|/Vericonomy:2.0.0/|90000||||||
95.175.104.71|/Vericonomy:2.0.0/|90000||||||
95.217.78.168|/Veritoshi:1.7.2/|70012|24940|95.217.0.0/16|DE|ripencc|2009-02-24|HETZNER-AS, DE
96.3.110.254|/Vericonomy:2.0.0/|90000||||||
98.110.167.105|/Vericonomy:2.0.0/|90000||||||
98.48.0.34|/Veritoshi:1.7.2/|70012||||||
