# https://chainz.cryptoid.info/ and whois results
# Verium
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
102.65.47.224|/Verium:1.3.2/|80004|328453|102.65.0.0/16||other||Web-Africa-Networks-AS, ZA
115.87.49.163|/Verium:1.3.2/|80004|17552|115.87.0.0/18|TH|apnic|2008-07-28|TRUEONLINE-AS-AP True Online, TH
136.144.42.79|/Verium:1.3.2/|80004|206092|136.144.42.0/24|NL|ripencc|1989-08-28|SECFIREWALLAS, GB
142.188.177.81|/Verium:1.3.2/|80004|577|142.188.0.0/16|CA|arin|1992-08-27|BACOM, CA
176.52.112.159|/Verium:1.3.2/|80004|29194|176.52.112.0/23|RU|ripencc|2011-05-25|ASN-TVT Kazan, Tatarstan, Russia, RU
194.45.77.37|/Verium:1.3.2/|80004|204151|194.45.76.0/22|DK|ripencc|2019-01-02|KVIKNET-, DK
202.171.78.5|/Veritoshi:1.2/|80001|17480|202.171.64.0/20|NC|apnic|2001-01-12|CANL CANL, NC
24.213.140.10|/Verium:1.3.2/|80004|11351|24.213.128.0/19|US|arin|2003-03-06|TWC-11351-NORTHEAST, US
41.193.1.234|/Vericonomy:2.0.1.5/|90001||||||
45.253.129.130|/Veritoshi:1.2/|80001||||||
45.77.72.49|/Veritoshi:1.0.4/|80001||||||
72.24.87.125|/Verium:1.3.2/|80004||||||
73.153.106.238|/Verium:1.3.2/|80004|7922|73.0.0.0/8|US|arin|2005-04-19|COMCAST-7922, US
73.211.186.45|/Vericonomy:2.0.1.5/|90001||||||
73.41.255.117|/Verium:1.3.2/|80004||||||
74.194.156.4|/Verium:1.3.2/|80004||||||
75.129.134.84|/Verium:1.3.2/|80004|20115|75.129.128.0/19|US|arin|2006-07-17|CHARTER-20115, US
75.188.122.90|/Verium:1.3.1/|80003||||||
78.13.16.164|/Vericonomy:2.0.1.5/|90001||||||
78.46.57.94|/Verium:1.3.2/|80004|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE
82.70.129.110|/Verium:1.3.2/|80004||||||
84.113.159.205|/Verium:1.3.2/|80004||||||
84.41.76.193|/Vericonomy:2.0.1.5/|90001||||||
86.139.169.32|/Vericonomy:2.0.1.5/|90001||||||
86.23.65.75|/Verium:1.3.2/|80004|5089|86.22.0.0/15|GB|ripencc|2005-03-29|NTL, GB
86.85.157.170|/Verium:1.3.2/|80004||||||
87.121.92.159|/Vericonomy:2.0.1.5/|90001|134697|87.121.92.0/24|AU|apnic|2005-07-12|LAUNTEL-AS-AP Launtel, AU
89.56.183.56|/Verium:1.3.2/|80004|207790|89.56.0.0/16|DE|ripencc|2005-11-23|SWNNMS, DE
91.121.221.200|/Verium:1.3.2/|80004||||||
91.25.131.246|/Verium:1.3.0/|80002||||||
92.220.86.6|/Verium:1.3.2/|80004||||||
92.63.173.54|/Verium:1.3.2/|80004|48635|92.63.168.0/21|NL|ripencc|2012-08-10|CLDIN-NL Total Webhosting Solutions, NL
94.23.206.91|/Verium:1.3.2/|80004|16276|94.23.0.0/16|FR|ripencc|2008-07-15|OVH, FR
98.97.15.78|/Verium:1.3.2/|80004|14593|98.97.8.0/21|US|arin|2021-06-28|SPACEX-STARLINK, US
98.97.2.218|/Verium:1.3.2/|80004|14593|98.97.0.0/21|US|arin|2021-06-28|SPACEX-STARLINK, US
