# https://chainz.cryptoid.info/ and whois results
# Vertcoin
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
100.4.82.195|/Satoshi:0.17.1/|70015|701|100.4.0.0/17|US|arin|2010-12-28|UUNET, US
103.125.150.14|/Satoshi:0.18.0/|70016|135345|103.125.150.0/24|PH|apnic|2018-11-19|NEWMOUNTAINVIEW-PH NewMountainView Satellite Corporation, PH
104.238.221.41|Satoshi:0.17.1|70016|23470|104.238.221.0/24|US|arin|2018-04-13|RELIABLESITE, US
107.11.123.98|/Satoshi:0.17.1/|70015|10796|107.11.0.0/16|US|arin|2010-09-23|TWC-10796-MIDWEST, US
107.216.3.137|/Satoshi:0.18.0/|70016|7018|107.208.0.0/12|US|arin|2012-04-25|ATT-INTERNET4, US
108.81.86.197|/Satoshi:0.18.0/|70016|7018|108.64.0.0/11|US|arin|2009-10-29|ATT-INTERNET4, US
110.52.157.37|/Satoshi:0.18.0/|70016|4837|110.52.0.0/15|CN|apnic|2009-03-18|CHINA169-BACKBONE CHINA UNICOM China169 Backbone, CN
115.135.24.244|/Satoshi:0.18.0/|70016|4788|115.135.0.0/18|MY|apnic|2008-08-05|TMNET-AS-AP TM Net, Internet Service Provider, MY
115.135.30.75|/Satoshi:0.18.0/|70016|4788|115.135.0.0/18|MY|apnic|2008-08-05|TMNET-AS-AP TM Net, Internet Service Provider, MY
120.155.215.189|/Satoshi:0.17.1/|70015|1221|120.152.0.0/14|AU|apnic|2008-04-09|ASN-TELSTRA Telstra Corporation Ltd, AU
13.37.70.104|/Satoshi:0.18.0/|70016|16509|13.36.0.0/14|US|arin|2020-08-05|AMAZON-02, US
136.144.246.10|/vertcoin-seeder:0.01/|60000|20857|136.144.192.0/18|NL|ripencc|1989-08-29|TRANSIP-AS Amsterdam, the Netherlands, NL
143.198.121.253|Satoshi:0.18.0|70016|14061|143.198.112.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US
145.239.0.126|/Satoshi:0.18.0/|70016|16276|145.239.0.0/16|FR|ripencc|1993-08-03|OVH, FR
149.18.24.146|/Satoshi:0.17.1/|70015|212238|149.18.24.0/24|US|arin|1992-01-28|CDNEXT, GB
168.119.240.8|/Satoshi:0.17.1/|70015|24940|168.119.0.0/16|DE|ripencc|1994-04-05|HETZNER-AS, DE
168.235.70.129|/Satoshi:0.18.0/|70016|3842|168.235.68.0/22|US|arin|2014-06-26|RAMNODE, US
173.249.42.183|/Satoshi:0.17.1/|70015|51167|173.249.42.0/23|DE|ripencc|2010-05-26|CONTABO, DE
174.58.62.212|/Satoshi:0.17.1/|70015|7922|174.48.0.0/12|US|arin|2008-11-18|COMCAST-7922, US
175.176.64.208|/Satoshi:0.18.0/|70016|10139|175.176.64.0/24|PH|apnic|2010-01-19|SMARTBRO-PH-AP Smart Broadband, Inc., PH
175.176.65.214|/Satoshi:0.18.0/|70016|10139|175.176.65.0/24|PH|apnic|2010-01-19|SMARTBRO-PH-AP Smart Broadband, Inc., PH
176.116.143.193|/Satoshi:0.18.0/|70016|50716|176.116.136.0/21|RU|ripencc|2012-05-09|TELECOMRUNET, RU
178.173.115.94|/Satoshi:0.17.1/|70015|47759|178.173.0.0/17|RU|ripencc|2010-04-13|POIG-AS, RU
178.206.85.216|/Satoshi:0.18.0/|70016|28840|178.206.64.0/19|RU|ripencc|2010-03-31|TATTELECOM-AS, RU
180.150.36.152|/Satoshi:0.18.0/|70016|4764|180.150.36.0/22|AU|apnic|2009-09-01|WIDEBAND-AS-AP Aussie Broadband, AU
188.182.153.82|/Satoshi:0.18.0/|70016|3292|188.176.0.0/13|DK|ripencc|2009-05-04|TDC TDC AS, DK
188.82.163.11|/Satoshi:0.17.1/|70015|3243|188.80.0.0/14|PT|ripencc|2009-03-25|MEO-RESIDENCIAL, PT
