# https://chainz.cryptoid.info/ and whois results
# VirtacoinPlus
IP Address|Subver|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
117.205.220.137|/xvp client:3.0.0/|60013|9829|117.205.208.0/20|IN|apnic|2007-08-01|BSNL-NIB National Internet Backbone, IN
134.249.130.16|/xvp client:3.0.0/|60013|15895|134.249.0.0/16|UA|ripencc|2011-11-07|KSNET-AS, UA
138.201.37.47|/xvp client:3.1.0/|60013|24940|138.201.0.0/16|DE|ripencc|1990-05-23|HETZNER-AS, DE
182.2.36.162|/xvp client:3.0.0/|60013|23693|182.2.32.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.38.119|/xvp client:3.0.0/|60013|23693|182.2.32.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.39.163|/xvp client:3.0.0/|60013|23693|182.2.32.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.40.134|/xvp client:3.0.0/|60013|23693|182.2.32.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.40.158|/xvp client:3.0.0/|60013|23693|182.2.32.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.68.110|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.68.66|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.70.45|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.71.11|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.73.137|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.74.173|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.75.110|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.75.145|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
182.2.75.162|/xvp client:3.0.0/|60013|23693|182.2.64.0/19|ID|apnic|2010-01-29|TELKOMSEL-ASN-ID PT. Telekomunikasi Selular, ID
184.22.136.29|/xvp client:3.0.0/|60013|133481|184.22.136.0/22|TH|apnic|2001-11-01|AIS-FIBRE-AS-AP AIS Fibre, TH
186.193.152.200|/xvp client:3.0.0/|60013|262729|186.193.152.0/24|BR|lacnic|2010-12-16|Telemidia Sistema de Telecomunicacao Ltda, BR
187.212.195.221|/xvp client:3.0.0/|60013|8151|187.212.192.0/21|MX|lacnic|2011-06-06|Uninet S.A. de C.V., MX
37.201.195.66|/xvp client:3.0.0/|60013|3209|37.201.128.0/17|DE|ripencc|2012-03-22|VODANET International IP-Backbone of Vodafone, DE
46.48.36.222|/xvp client:3.0.0/|60013|12668|46.48.0.0/17|RU|ripencc|2010-06-22|MIRALOGIC-AS, RU
51.38.57.53|/xvp client:3.1.0/|60013||||||
72.39.5.51|/xvp client:3.0.0/|60013|7992|72.38.0.0/15|CA|arin|2005-07-22|COGECOWAVE, CA
77.21.128.158|/xvp client:3.0.0/|60013|3209|77.20.0.0/14|DE|ripencc|2008-04-08|VODANET International IP-Backbone of Vodafone, DE
82.78.173.13|/xvp client:3.0.0/|60013|8708|82.76.0.0/14|RO|ripencc|2003-07-14|RCS-RDS 73-75 Dr. Staicovici, RO
85.15.179.171|/xvp client:3.1.0/|60013||||||
88.99.146.31|/xvp client:3.1.0/|60013|24940|88.99.0.0/16|DE|ripencc|2005-08-03|HETZNER-AS, DE
89.246.99.128|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.129|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.130|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.132|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.136|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.142|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.149|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
89.246.99.152|/xvp client:3.0.0/|60013|8881|89.246.96.0/21|DE|ripencc|2006-05-04|VERSATEL, DE
91.206.16.214|/xvp client:3.1.0/|60013||||||
91.216.61.193|/xvp client:3.0.0/|60013|50981|91.216.61.0/24|UA|ripencc|2010-05-03|KMSINET-AS, UA
98.97.82.203|/xvp client:3.0.0/|60013|14593|98.97.80.0/21|US|arin|2021-06-28|SPACEX-STARLINK, US
